#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.196826e-03       6.616798e-05       4.922801e-04       9.528984e-02       3.161375e-03       1.753364e-02
        2000       1.129980e-03       3.643649e-05       4.967359e-04       1.083431e-01       2.745968e-03       1.740167e-02
        4000       1.210010e-03       5.249736e-05       5.214628e-04       8.893147e-02       2.748941e-03       1.743233e-02
        6000       1.296520e-03       6.949874e-05       5.712556e-04       1.467357e-01       3.677343e-03       1.742362e-02
        8000       1.283576e-03       8.752688e-05       5.624120e-04       9.573891e-02       2.638278e-03       1.755038e-02
       10000       1.456017e-03       3.365706e-05       6.111109e-04       9.047421e-02       3.072582e-03       1.759373e-02
       12000       1.123532e-03       1.524835e-05       5.050593e-04       1.230452e-01       2.403809e-03       1.745340e-02
       14000       1.255206e-03       1.053044e-04       5.343609e-04       7.996687e-02       3.398297e-03       1.732127e-02
       16000       1.295595e-03       4.851557e-05       5.209048e-04       9.734578e-02       2.779401e-03       1.747839e-02
       18000       1.207761e-03       1.165948e-04       5.209832e-04       1.118999e-01       3.481858e-03       1.723662e-02
       20000       1.227722e-03       4.775101e-05       5.421943e-04       1.483413e-01       3.670005e-03       1.735446e-02
       22000       1.272464e-03       4.525760e-05       5.210438e-04       9.879416e-02       2.578084e-03       1.741826e-02
       24000       1.176108e-03       7.134017e-05       5.216802e-04       1.118123e-01       2.388070e-03       1.731432e-02
       26000       1.060755e-03       3.864827e-05       4.535273e-04       1.023039e-01       3.762060e-03       1.731783e-02
       28000       1.255975e-03       5.285927e-05       4.889278e-04       8.096892e-02       2.386705e-03       1.721774e-02
       30000       1.185635e-03       4.990362e-05       5.578958e-04       7.040968e-02       3.015732e-03       1.722653e-02
       32000       1.350399e-03       1.638636e-05       5.868467e-04       1.005108e-01       3.544343e-03       1.739008e-02
       34000       1.061139e-03       4.848104e-05       4.845060e-04       9.343444e-02       3.164541e-03       1.718532e-02
       36000       1.311169e-03       8.416847e-05       5.337302e-04       1.854327e-01       3.215004e-03       1.746616e-02
       38000       1.222111e-03       5.366768e-05       4.876102e-04       9.018806e-02       2.556224e-03       1.753147e-02
       40000       1.286152e-03       7.322722e-05       5.414184e-04       8.876410e-02       3.264488e-03       1.733495e-02
       42000       1.244221e-03       5.874215e-05       5.257029e-04       8.068232e-02       3.225876e-03       1.737937e-02
       44000       1.056775e-03       4.194253e-05       4.680231e-04       1.362081e-01       3.243435e-03       1.736392e-02
       46000       1.120093e-03       7.931121e-05       5.105886e-04       1.478753e-01       3.395166e-03       1.732066e-02
       48000       1.468054e-03       3.373749e-05       6.296489e-04       1.118251e-01       2.904097e-03       1.723402e-02
       50000       1.224604e-03       8.812593e-05       5.058926e-04       7.242007e-02       2.555942e-03       1.724691e-02
       52000       1.433494e-03       4.845717e-05       6.460023e-04       7.526619e-02       1.749628e-03       1.715394e-02
       54000       9.703271e-04       4.251717e-05       4.454649e-04       1.094199e-01       3.228090e-03       1.747540e-02
       56000       1.271270e-03       4.880468e-05       5.436895e-04       7.684006e-02       3.262787e-03       1.756753e-02
       58000       1.172470e-03       1.557760e-05       5.069714e-04       1.341785e-01       3.217744e-03       1.727147e-02
       60000       1.192310e-03       3.553751e-05       5.285924e-04       9.002835e-02       2.841652e-03       1.738754e-02
       62000       1.034447e-03       5.473578e-05       4.738323e-04       9.290210e-02       2.790491e-03       1.737615e-02
       64000       1.320812e-03       1.199259e-04       5.710192e-04       8.359412e-02       3.272708e-03       1.737434e-02
       66000       1.303578e-03       6.407664e-05       5.692234e-04       7.779143e-02       2.893070e-03       1.751267e-02
       68000       1.146184e-03       8.008552e-05       4.955483e-04       8.792499e-02       2.886617e-03       1.737053e-02
       70000       1.180070e-03       7.054664e-05       5.426738e-04       1.052795e-01       2.739079e-03       1.743047e-02
       72000       1.244462e-03       9.790769e-05       5.510323e-04       9.888815e-02       3.130101e-03       1.744597e-02
       74000       1.256700e-03       8.428460e-05       5.570841e-04       9.935474e-02       2.940799e-03       1.712785e-02
       76000       1.251365e-03       1.064327e-05       5.365743e-04       7.922568e-02       2.961428e-03       1.703141e-02
       78000       1.321432e-03       6.075790e-05       5.625690e-04       9.511333e-02       3.137970e-03       1.742633e-02
       80000       1.266570e-03       5.882808e-05       5.641111e-04       8.885842e-02       2.660245e-03       1.740425e-02
       82000       1.346122e-03       7.815904e-05       5.587445e-04       1.253359e-01       3.261361e-03       1.702067e-02
       84000       1.150203e-03       5.938551e-05       5.161034e-04       7.839715e-02       2.614188e-03       1.707451e-02
       86000       1.416148e-03       5.082409e-05       5.954604e-04       1.000811e-01       3.092206e-03       1.726485e-02
       88000       1.291603e-03       3.333637e-05       5.639397e-04       1.039208e-01       2.941856e-03       1.731351e-02
       90000       1.409230e-03       3.698973e-05       6.095529e-04       1.029078e-01       2.527089e-03       1.736814e-02
       92000       1.455429e-03       1.377658e-05       5.895240e-04       1.019762e-01       2.777589e-03       1.733854e-02
       94000       1.239477e-03       2.050733e-05       5.483365e-04       8.139883e-02       3.909332e-03       1.721801e-02
       96000       1.261988e-03       1.051469e-04       5.450428e-04       8.438823e-02       2.885134e-03       1.749983e-02
       98000       1.443494e-03       1.535017e-05       6.303477e-04       9.422693e-02       3.235819e-03       1.729447e-02
      100000       1.251469e-03       4.356604e-05       5.440710e-04       8.964189e-02       3.547480e-03       1.742230e-02
      102000       1.350129e-03       6.893927e-05       5.912081e-04       1.016555e-01       3.392155e-03       1.761475e-02
      104000       1.348664e-03       9.266044e-05       5.718462e-04       8.873702e-02       3.287454e-03       1.728266e-02
      106000       1.487213e-03       5.884828e-05       6.485444e-04       7.597762e-02       3.554345e-03       1.760137e-02
      108000       1.039304e-03       1.119464e-04       4.734968e-04       8.091208e-02       2.603160e-03       1.733990e-02
      110000       1.332695e-03       7.522862e-05       5.886210e-04       8.200468e-02       2.801668e-03       1.737069e-02
      112000       1.441763e-03       4.566666e-05       5.714687e-04       7.756261e-02       3.420667e-03       1.748269e-02
      114000       1.318765e-03       5.580683e-05       5.640173e-04       1.319188e-01       3.286172e-03       1.741081e-02
      116000       1.334947e-03       8.205019e-05       5.968189e-04       8.664975e-02       2.916841e-03       1.734949e-02
      118000       1.355872e-03       4.534268e-05       5.716090e-04       1.055744e-01       3.502018e-03       1.738992e-02
      120000       1.281633e-03       3.308410e-05       5.391600e-04       1.334042e-01       3.235625e-03       1.729701e-02
      122000       1.370994e-03       6.139510e-05       5.951738e-04       7.360666e-02       3.208012e-03       1.732230e-02
      124000       1.191835e-03       6.513007e-05       5.384818e-04       1.366697e-01       2.781842e-03       1.734061e-02
      126000       1.414091e-03       6.423286e-05       6.089046e-04       1.080994e-01       3.010765e-03       1.720549e-02
      128000       1.248973e-03       6.616452e-05       5.924549e-04       8.743502e-02       2.549481e-03       1.705894e-02
      130000       1.236807e-03       4.300177e-05       5.546410e-04       1.028488e-01       2.980479e-03       1.739196e-02
      132000       1.112785e-03       1.089212e-04       4.629953e-04       8.403974e-02       2.518432e-03       1.768015e-02
      134000       1.187796e-03       4.745239e-05       5.279611e-04       1.600422e-01       3.020516e-03       1.744311e-02
      136000       1.133285e-03       7.791713e-05       5.051155e-04       8.344645e-02       2.867917e-03       1.719924e-02
      138000       1.268956e-03       6.017159e-05       5.682816e-04       8.048584e-02       3.368703e-03       1.731230e-02
      140000       1.178164e-03       7.829059e-05       4.927561e-04       9.595515e-02       4.025481e-03       1.729129e-02
      142000       1.278850e-03       6.733327e-05       5.550231e-04       7.483567e-02       3.360058e-03       1.741703e-02
      144000       1.381894e-03       1.603987e-05       5.517733e-04       1.139989e-01       2.982205e-03       1.720226e-02
      146000       1.215561e-03       7.338370e-05       5.240603e-04       8.381080e-02       3.288983e-03       1.737950e-02
      148000       1.419946e-03       5.667234e-05       6.273789e-04       1.203234e-01       2.814738e-03       1.735648e-02
      150000       1.264976e-03       8.130398e-05       5.826310e-04       8.491351e-02       3.099988e-03       1.727646e-02
      152000       1.212985e-03       8.484462e-05       5.142938e-04       7.908336e-02       3.062855e-03       1.734238e-02
      154000       1.175593e-03       6.428541e-05       5.116324e-04       1.124943e-01       3.283627e-03       1.717027e-02
      156000       1.128666e-03       3.199666e-05       4.897108e-04       1.202428e-01       3.495162e-03       1.732319e-02
      158000       1.287514e-03       5.856307e-05       5.608092e-04       9.435435e-02       3.351245e-03       1.731474e-02
      160000       1.361272e-03       7.876484e-05       6.080417e-04       9.073398e-02       3.366790e-03       1.734048e-02
      162000       1.297050e-03       2.143635e-05       5.764553e-04       1.016773e-01       3.708765e-03       1.722772e-02
      164000       1.261750e-03       2.529474e-05       5.610250e-04       1.018753e-01       2.851285e-03       1.706203e-02
      166000       1.381984e-03       1.247239e-04       5.688891e-04       1.280118e-01       2.735653e-03       1.728649e-02
      168000       1.096829e-03       7.298951e-05       4.759092e-04       1.051081e-01       3.196287e-03       1.738550e-02
      170000       1.490083e-03       8.674176e-05       6.990751e-04       1.124302e-01       2.482204e-03       1.747544e-02
      172000       1.453520e-03       5.639991e-05       6.215187e-04       8.825457e-02       3.216360e-03       1.755548e-02
      174000       1.040713e-03       5.570142e-05       4.479671e-04       1.033444e-01       3.779733e-03       1.754742e-02
      176000       1.209786e-03       6.717909e-05       5.105970e-04       7.782015e-02       2.824116e-03       1.730678e-02
      178000       1.346348e-03       5.814392e-05       5.397184e-04       1.429713e-01       2.707375e-03       1.749505e-02
      180000       1.395070e-03       3.730022e-05       6.028148e-04       1.325638e-01       3.339510e-03       1.729972e-02
      182000       1.246531e-03       8.125026e-05       5.186131e-04       8.893535e-02       2.458873e-03       1.722011e-02
      184000       1.311328e-03       6.809754e-05       5.485098e-04       8.754592e-02       2.241718e-03       1.718302e-02
      186000       1.291700e-03       7.877254e-05       5.765261e-04       1.786218e-01       2.769409e-03       1.763506e-02
      188000       1.375523e-03       3.587976e-05       5.971443e-04       8.657466e-02       2.802771e-03       1.730384e-02
      190000       1.279890e-03       3.403004e-05       5.135843e-04       8.728320e-02       3.567784e-03       1.769410e-02
      192000       1.419429e-03       4.115899e-05       5.776155e-04       8.854527e-02       3.399252e-03       1.754524e-02
      194000       1.234596e-03       5.451316e-05       4.947889e-04       1.187054e-01       2.852728e-03       1.754760e-02
      196000       1.372301e-03       1.891784e-05       5.732605e-04       8.735218e-02       2.540737e-03       1.762212e-02
      198000       1.409162e-03       4.695144e-05       5.764079e-04       8.262215e-02       3.451118e-03       1.762791e-02
      200000       1.393699e-03       1.174157e-05       6.130635e-04       9.796831e-02       3.278123e-03       1.739935e-02
      202000       1.359540e-03       8.784481e-05       6.138277e-04       1.187997e-01       3.802246e-03       1.753724e-02
      204000       1.261900e-03       4.790859e-05       5.411976e-04       7.600766e-02       3.182309e-03       1.730378e-02
      206000       1.312289e-03       7.684410e-05       5.881367e-04       1.416750e-01       3.482283e-03       1.735355e-02
      208000       1.133722e-03       9.067357e-05       5.349551e-04       7.749962e-02       2.550836e-03       1.722790e-02
      210000       1.131859e-03       5.398166e-05       5.011338e-04       8.294707e-02       3.207353e-03       1.730751e-02
      212000       1.327264e-03       5.523168e-05       5.839927e-04       1.407873e-01       2.833008e-03       1.724222e-02
      214000       1.216416e-03       7.690380e-05       5.639515e-04       1.003240e-01       3.182469e-03       1.711748e-02
      216000       1.166255e-03       4.030713e-05       5.107698e-04       1.038601e-01       3.972738e-03       1.726149e-02
      218000       9.774199e-04       5.706360e-05       4.743659e-04       8.164335e-02       3.078830e-03       1.727865e-02
      220000       1.215908e-03       6.212360e-05       5.214883e-04       8.452946e-02       3.394021e-03       1.718811e-02
      222000       1.269363e-03       1.998697e-05       5.290243e-04       8.001620e-02       3.067435e-03       1.720293e-02
      224000       1.262020e-03       3.507994e-05       5.311328e-04       8.322402e-02       3.146755e-03       1.714319e-02
      226000       1.215657e-03       5.017489e-05       4.949117e-04       8.310199e-02       3.940782e-03       1.745460e-02
      228000       1.238647e-03       5.665354e-05       5.331584e-04       9.823173e-02       3.367605e-03       1.721300e-02
      230000       1.190424e-03       1.139782e-05       4.864429e-04       7.516896e-02       3.400749e-03       1.730961e-02
      232000       1.320115e-03       3.637815e-05       5.526283e-04       7.703853e-02       2.889557e-03       1.729451e-02
      234000       1.163036e-03       5.529797e-05       5.193520e-04       7.882515e-02       2.756019e-03       1.751178e-02
      236000       1.222786e-03       6.799307e-05       5.357693e-04       8.352019e-02       3.432848e-03       1.739408e-02
      238000       1.566312e-03       5.646506e-05       6.871064e-04       8.368820e-02       3.065220e-03       1.745080e-02
      240000       1.274772e-03       6.938532e-05       5.513434e-04       7.603332e-02       3.234049e-03       1.755185e-02
      242000       1.287231e-03       4.626181e-05       5.795445e-04       8.667221e-02       3.243472e-03       1.700867e-02
      244000       1.310222e-03       8.025609e-05       5.861896e-04       1.303633e-01       2.826808e-03       1.747041e-02
      246000       1.224515e-03       4.468542e-05       5.421266e-04       8.805619e-02       1.888599e-03       1.747324e-02
      248000       1.153105e-03       4.808387e-05       4.712810e-04       1.044371e-01       3.337053e-03       1.750024e-02
      250000       1.351830e-03       4.619538e-05       5.215269e-04       1.050879e-01       3.085634e-03       1.733957e-02
      252000       1.412550e-03       2.758217e-05       5.934247e-04       1.452294e-01       3.208011e-03       1.727194e-02
      254000       1.102465e-03       6.701849e-05       4.796840e-04       8.210205e-02       3.203157e-03       1.719130e-02
      256000       1.074611e-03       6.423031e-05       4.757881e-04       9.634420e-02       3.197673e-03       1.752451e-02
      258000       1.124919e-03       5.729896e-05       5.057441e-04       9.691248e-02       3.173994e-03       1.726185e-02
      260000       1.142488e-03       2.447144e-05       4.923932e-04       8.386099e-02       2.461346e-03       1.722025e-02
      262000       1.175697e-03       5.199817e-05       5.263395e-04       8.431130e-02       3.438804e-03       1.711233e-02
      264000       1.235673e-03       6.613121e-05       5.548927e-04       1.264362e-01       2.996153e-03       1.717877e-02
