#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       5.472045e-04       1.681070e-05       3.055158e-04       8.204488e-02       2.428692e-03       1.470535e-02
       10000       5.127902e-04       2.058609e-05       2.824678e-04       1.373488e-01       3.100792e-03       1.455866e-02
       20000       5.071198e-04       3.652878e-05       2.701080e-04       9.208678e-02       2.821971e-03       1.449855e-02
       30000       6.045132e-04       3.064083e-05       3.262706e-04       1.176774e-01       2.773749e-03       1.461944e-02
       40000       5.609759e-04       3.427102e-05       2.916460e-04       1.314529e-01       2.646160e-03       1.468765e-02
       50000       5.783920e-04       1.665915e-05       3.248126e-04       1.197025e-01       2.482854e-03       1.477235e-02
       60000       5.819146e-04       2.057865e-05       3.242110e-04       1.362820e-01       2.372570e-03       1.458600e-02
       70000       5.379455e-04       2.464581e-05       2.927226e-04       1.202517e-01       2.582507e-03       1.481721e-02
       80000       5.020652e-04       3.947386e-05       2.836835e-04       9.456639e-02       2.238998e-03       1.485097e-02
       90000       5.500258e-04       3.638438e-05       2.827772e-04       1.252149e-01       2.895403e-03       1.468257e-02
      100000       5.689302e-04       3.662691e-05       3.041737e-04       1.138373e-01       2.490411e-03       1.471316e-02
      110000       5.693330e-04       3.014827e-05       3.247351e-04       1.139002e-01       2.815832e-03       1.452026e-02
      120000       5.206324e-04       4.160180e-05       2.825222e-04       8.731742e-02       3.134883e-03       1.461485e-02
      130000       5.913494e-04       3.946861e-05       3.182501e-04       1.005245e-01       2.752668e-03       1.460482e-02
      140000       5.795788e-04       1.433098e-05       3.079393e-04       9.376676e-02       2.440565e-03       1.463826e-02
      150000       5.409829e-04       2.852778e-05       3.007288e-04       9.349676e-02       2.098563e-03       1.465984e-02
      160000       4.666014e-04       8.949633e-06       2.635406e-04       1.139327e-01       2.972335e-03       1.460555e-02
      170000       5.557461e-04       2.449219e-05       3.017392e-04       7.941453e-02       3.422838e-03       1.476280e-02
      180000       6.364199e-04       4.292060e-05       3.343746e-04       9.210176e-02       2.214609e-03       1.470979e-02
      190000       5.175368e-04       3.264297e-05       2.955130e-04       1.104797e-01       2.663221e-03       1.447903e-02
      200000       5.252044e-04       2.254356e-05       2.987098e-04       9.588156e-02       3.167841e-03       1.455664e-02
      210000       5.218726e-04       3.165213e-05       2.911178e-04       1.134263e-01       2.431429e-03       1.469375e-02
      220000       5.117732e-04       2.115744e-05       2.830985e-04       7.985306e-02       2.830478e-03       1.454944e-02
      230000       5.204623e-04       1.563433e-05       2.750035e-04       1.071649e-01       2.826210e-03       1.456192e-02
      240000       3.968249e-04       4.597507e-05       2.308535e-04       1.563312e-01       3.153413e-03       1.471252e-02
      250000       5.128919e-04       2.182912e-05       2.876746e-04       8.206032e-02       2.574590e-03       1.464781e-02
      260000       4.509685e-04       4.366702e-05       2.618234e-04       9.420506e-02       2.196629e-03       1.455004e-02
      270000       5.775302e-04       2.101947e-05       2.894266e-04       1.737651e-01       2.439727e-03       1.475323e-02
      280000       5.759278e-04       1.309776e-05       3.086482e-04       8.340095e-02       2.311346e-03       1.470322e-02
      290000       5.432420e-04       4.693304e-05       3.034450e-04       1.217496e-01       2.395423e-03       1.460490e-02
      300000       5.257643e-04       4.396827e-05       2.958147e-04       1.007911e-01       3.220341e-03       1.468842e-02
      310000       6.315283e-04       2.955652e-05       3.564310e-04       1.153988e-01       3.088854e-03       1.464576e-02
      320000       6.711341e-04       1.952948e-05       3.583948e-04       1.124818e-01       3.386285e-03       1.469752e-02
      330000       5.424181e-04       2.360048e-05       3.063263e-04       8.994964e-02       3.062363e-03       1.451480e-02
      340000       4.890832e-04       2.425231e-05       2.505881e-04       9.218704e-02       2.544348e-03       1.474159e-02
      350000       5.729649e-04       2.818227e-05       3.162735e-04       7.567104e-02       3.204402e-03       1.457976e-02
      360000       5.241371e-04       3.186171e-05       2.895447e-04       1.614274e-01       3.468892e-03       1.456898e-02
      370000       5.473005e-04       2.289730e-05       3.052071e-04       1.351931e-01       2.420881e-03       1.467757e-02
      380000       6.022170e-04       2.270488e-05       3.238498e-04       9.131135e-02       2.980160e-03       1.451608e-02
      390000       4.760366e-04       4.190939e-05       2.554166e-04       8.423829e-02       2.554230e-03       1.473390e-02
      400000       5.120696e-04       2.406739e-05       2.827803e-04       1.267142e-01       1.868803e-03       1.458507e-02
      410000       5.519580e-04       2.318146e-05       3.061667e-04       9.637744e-02       3.043736e-03       1.464770e-02
      420000       6.280414e-04       1.515828e-05       3.370788e-04       1.265255e-01       2.886005e-03       1.471783e-02
      430000       5.708170e-04       1.217435e-05       3.275315e-04       9.235515e-02       2.176874e-03       1.462931e-02
      440000       5.815308e-04       2.214677e-05       3.104861e-04       9.364437e-02       2.700826e-03       1.448118e-02
      450000       5.060969e-04       2.145962e-05       2.608504e-04       1.469829e-01       2.859228e-03       1.455940e-02
      460000       5.681297e-04       8.566981e-06       3.173589e-04       1.138647e-01       2.813165e-03       1.456104e-02
      470000       5.873782e-04       4.026161e-05       3.255334e-04       1.106054e-01       2.846895e-03       1.472034e-02
      480000       6.529964e-04       4.130451e-05       3.372765e-04       9.506976e-02       2.645351e-03       1.455105e-02
      490000       5.373561e-04       3.998979e-05       3.029208e-04       9.741837e-02       2.957584e-03       1.474596e-02
      500000       5.387077e-04       3.819178e-05       3.045840e-04       8.269742e-02       2.288078e-03       1.465382e-02
      510000       5.960606e-04       2.781381e-05       3.342512e-04       1.023267e-01       3.106245e-03       1.471742e-02
      520000       5.446313e-04       3.746066e-05       3.005051e-04       1.000038e-01       2.611918e-03       1.463480e-02
      530000       5.449592e-04       3.880098e-05       3.140404e-04       1.605081e-01       3.097662e-03       1.454891e-02
      540000       5.600981e-04       2.870413e-05       3.086133e-04       1.049788e-01       2.102325e-03       1.442969e-02
      550000       5.706128e-04       1.960267e-05       3.136456e-04       1.343224e-01       3.106879e-03       1.467426e-02
      560000       5.160497e-04       3.489806e-05       2.908331e-04       1.285401e-01       2.806847e-03       1.447102e-02
      570000       5.625357e-04       2.456591e-05       2.931815e-04       1.068031e-01       3.554396e-03       1.466747e-02
      580000       5.941483e-04       3.722364e-05       3.337725e-04       1.096818e-01       2.372739e-03       1.462589e-02
      590000       4.843965e-04       1.124708e-05       2.745145e-04       8.171808e-02       2.987756e-03       1.473132e-02
      600000       5.278794e-04       4.071041e-05       2.838085e-04       1.230385e-01       3.417792e-03       1.470672e-02
      610000       5.525168e-04       2.896618e-05       3.124476e-04       7.085618e-02       2.386877e-03       1.465547e-02
      620000       4.765486e-04       2.104806e-05       2.595625e-04       7.752674e-02       2.919395e-03       1.469717e-02
      630000       5.575184e-04       2.651919e-05       3.086149e-04       8.542048e-02       2.927692e-03       1.453899e-02
      640000       5.366244e-04       2.369821e-05       2.954721e-04       1.200817e-01       3.320940e-03       1.450155e-02
      650000       5.247651e-04       4.500310e-05       2.950590e-04       9.305501e-02       2.790903e-03       1.468417e-02
      660000       5.477564e-04       5.507912e-05       3.048297e-04       9.081984e-02       1.773110e-03       1.461631e-02
      670000       5.231158e-04       6.592424e-05       3.022333e-04       1.682936e-01       2.327132e-03       1.467222e-02
