#step enthalpy vol
0 -2487805.0100958771072 154456.55621799331857
1000 -2487791.8483894392848 154456.55621799331857
2000 -2487779.064305737149 154456.55621799331857
3000 -2487810.6641230722889 154456.55621799331857
4000 -2487807.3784638880752 154456.55621799331857
5000 -2487808.2386145638302 154456.55621799331857
6000 -2487737.0701722712256 154456.55621799331857
7000 -2487692.2167267184705 154456.55621799331857
8000 -2487769.0416293996386 154456.55621799331857
9000 -2487729.1082665016875 154456.55621799331857
10000 -2487781.6649898360483 154456.55621799331857
11000 -2487865.1363278403878 154456.55621799331857
12000 -2487776.2389536886476 154456.55621799331857
13000 -2487720.5953778978437 154456.55621799331857
14000 -2487732.7300382838584 154456.55621799331857
15000 -2487756.2618996668607 154456.55621799331857
16000 -2487788.4195092078298 154456.55621799331857
17000 -2487775.8688625870273 154456.55621799331857
18000 -2487813.492087577004 154456.55621799331857
19000 -2487801.9777209842578 154456.55621799331857
20000 -2487772.7865499327891 154456.55621799331857
21000 -2487811.3125320859253 154456.55621799331857
22000 -2487802.6756806536578 154456.55621799331857
23000 -2487847.1233855444007 154456.55621799331857
24000 -2487794.4502536989748 154456.55621799331857
25000 -2487735.1272616800852 154456.55621799331857
26000 -2487815.4985668207519 154456.55621799331857
27000 -2487773.1320923492312 154456.55621799331857
28000 -2487734.667033359874 154456.55621799331857
29000 -2487756.1928519238718 154456.55621799331857
30000 -2487801.7129567661323 154456.55621799331857
31000 -2487797.0858466206118 154456.55621799331857
32000 -2487765.7517486773431 154456.55621799331857
33000 -2487803.7494191960432 154456.55621799331857
34000 -2487859.4259378900751 154456.55621799331857
35000 -2487853.2342912205495 154456.55621799331857
36000 -2487777.3465105765499 154456.55621799331857
37000 -2487805.6065035187639 154456.55621799331857
38000 -2487728.8186414865777 154456.55621799331857
39000 -2487801.2723919870332 154456.55621799331857
40000 -2487815.3827391979285 154456.55621799331857
41000 -2487805.5457329554483 154456.55621799331857
42000 -2487857.558803839609 154456.55621799331857
43000 -2487746.150382776279 154456.55621799331857
44000 -2487843.8266554912552 154456.55621799331857
45000 -2487783.2601574864239 154456.55621799331857
46000 -2487813.6332602603361 154456.55621799331857
47000 -2487880.4896399010904 154456.55621799331857
48000 -2487879.9224853683263 154456.55621799331857
49000 -2487867.9430781141855 154456.55621799331857
50000 -2487796.5714851818047 154456.55621799331857
51000 -2487789.8853740654886 154456.55621799331857
52000 -2487770.7448283932172 154456.55621799331857
53000 -2487845.2840206855908 154456.55621799331857
54000 -2487822.438004961703 154456.55621799331857
55000 -2487785.4095516158268 154456.55621799331857
56000 -2487768.8050050539896 154456.55621799331857
57000 -2487870.0878482870758 154456.55621799331857
58000 -2487781.7994004334323 154456.55621799331857
59000 -2487824.9350505517796 154456.55621799331857
60000 -2487746.8680369327776 154456.55621799331857
61000 -2487809.6874150033109 154456.55621799331857
62000 -2487788.789770044852 154456.55621799331857
63000 -2487770.3403354822658 154456.55621799331857
64000 -2487826.2288007736206 154456.55621799331857
65000 -2487894.4614982195199 154456.55621799331857
66000 -2487817.7745630224235 154456.55621799331857
67000 -2487733.7331973891705 154456.55621799331857
68000 -2487811.0250550718047 154456.55621799331857
69000 -2487749.0606005918235 154456.55621799331857
70000 -2487824.6465237662196 154456.55621799331857
71000 -2487851.8915963838808 154456.55621799331857
72000 -2487800.2208407279104 154456.55621799331857
73000 -2487751.9863841873594 154456.55621799331857
74000 -2487789.6737407152541 154456.55621799331857
75000 -2487834.2035048673861 154456.55621799331857
76000 -2487787.2498362408951 154456.55621799331857
77000 -2487768.5903755682521 154456.55621799331857
78000 -2487816.0131884501316 154456.55621799331857
79000 -2487753.5574711286463 154456.55621799331857
80000 -2487800.1941314889118 154456.55621799331857
81000 -2487774.8348789461888 154456.55621799331857
