#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       5.078255e-04       3.344716e-05       2.684481e-04       1.218245e-01       2.955078e-03       1.494936e-02
       10000       6.897801e-04       6.230785e-05       3.603033e-04       6.393973e-02       3.989664e-03       1.449086e-02
       20000       5.830384e-04       2.748015e-05       3.270343e-04       1.533156e-01       3.713336e-03       1.523677e-02
       30000       4.866291e-04       1.924224e-05       2.815566e-04       6.744943e-02       3.959440e-03       1.494538e-02
       40000       5.918012e-04       6.578743e-05       3.226434e-04       6.512803e-02       3.715976e-03       1.487396e-02
       50000       5.642870e-04       1.995647e-05       3.050963e-04       1.063056e-01       2.808320e-03       1.509515e-02
       60000       6.161391e-04       2.802725e-05       3.088604e-04       1.134822e-01       2.616133e-03       1.514461e-02
       70000       7.147804e-04       5.957817e-05       3.821591e-04       7.450441e-02       3.536818e-03       1.486965e-02
       80000       5.432625e-04       2.950516e-05       2.994726e-04       5.703260e-02       2.717678e-03       1.471101e-02
       90000       4.548714e-04       3.644848e-05       2.602731e-04       6.627029e-02       2.607241e-03       1.456610e-02
      100000       7.388624e-04       5.152294e-05       3.395487e-04       1.206354e-01       3.107553e-03       1.493830e-02
      110000       6.095029e-04       7.173970e-05       3.297068e-04       6.449233e-02       3.529841e-03       1.484792e-02
      120000       6.039627e-04       6.933568e-05       3.190767e-04       8.762016e-02       3.271360e-03       1.475393e-02
      130000       6.383515e-04       4.391880e-05       3.408642e-04       8.484273e-02       2.429817e-03       1.487810e-02
      140000       6.116469e-04       5.106219e-05       3.284267e-04       7.272719e-02       3.081822e-03       1.449569e-02
      150000       5.235147e-04       1.055932e-04       3.037355e-04       6.323112e-02       3.120869e-03       1.481575e-02
      160000       7.437239e-04       4.411345e-05       3.733553e-04       8.534542e-02       3.899400e-03       1.496932e-02
      170000       5.183783e-04       2.129323e-05       2.513979e-04       7.546500e-02       2.283807e-03       1.510662e-02
