#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       9.258373e-04       9.442421e-05       5.232193e-04       8.285274e-02       4.680473e-03       1.599461e-02
       10000       1.204258e-03       1.935812e-04       6.462136e-04       6.614098e-02       3.282480e-03       1.562911e-02
       20000       1.194506e-03       2.269517e-04       6.072880e-04       7.754377e-02       3.840700e-03       1.668966e-02
       30000       1.115414e-03       1.349882e-04       5.718752e-04       7.291611e-02       4.551196e-03       1.659093e-02
       40000       1.237918e-03       1.693113e-04       6.965052e-04       4.429665e-02       4.714788e-03       1.555897e-02
       50000       8.427334e-04       1.850846e-04       4.726873e-04       6.801852e-02       5.062597e-03       1.597484e-02
       60000       1.032447e-03       1.280108e-04       5.643494e-04       5.728287e-02       3.359817e-03       1.583065e-02
       70000       7.690970e-04       5.522898e-05       4.424527e-04       5.226842e-02       3.951823e-03       1.560575e-02
       80000       1.020357e-03       2.389783e-04       4.899520e-04       6.798578e-02       4.281237e-03       1.617938e-02
       90000       1.315624e-03       1.525955e-04       6.224353e-04       5.590664e-02       4.801118e-03       1.738991e-02
      100000       1.184058e-03       1.108064e-04       6.133420e-04       7.216588e-02       3.762573e-03       1.647916e-02
      110000       6.036151e-04       1.337737e-04       3.563734e-04       6.415042e-02       3.858053e-03       1.663150e-02
      120000       1.413963e-03       1.607032e-04       7.914717e-04       7.122281e-02       4.151623e-03       1.635434e-02
      130000       9.672414e-04       1.664926e-04       5.726804e-04       6.284998e-02       4.886867e-03       1.571875e-02
      140000       1.340539e-03       2.445861e-04       6.739871e-04       4.902697e-02       3.316684e-03       1.611410e-02
      150000       1.257384e-03       1.971600e-04       7.359202e-04       6.113240e-02       4.348648e-03       1.606012e-02
      160000       1.392681e-03       1.943502e-04       7.433977e-04       6.424384e-02       4.241181e-03       1.608540e-02
      170000       1.114090e-03       2.459536e-04       6.132122e-04       5.210313e-02       4.992599e-03       1.562938e-02
      180000       1.371236e-03       2.232471e-04       7.575031e-04       5.355897e-02       4.062184e-03       1.510828e-02
      190000       1.129938e-03       1.117588e-04       5.570794e-04       4.700773e-02       4.356948e-03       1.561868e-02
      200000       1.229836e-03       2.322825e-04       7.086931e-04       7.027519e-02       4.467417e-03       1.679969e-02
      210000       1.123010e-03       2.396240e-04       5.460150e-04       6.059460e-02       3.950992e-03       1.705196e-02
      220000       1.384422e-03       6.670374e-05       7.582206e-04       5.149008e-02       4.848677e-03       1.484489e-02
      230000       1.294361e-03       2.234430e-04       7.048306e-04       5.657804e-02       5.051423e-03       1.566659e-02
      240000       1.286782e-03       2.729912e-04       7.870425e-04       6.315431e-02       5.274915e-03       1.664739e-02
      250000       9.555798e-04       3.063881e-04       4.857977e-04       5.467017e-02       5.407711e-03       1.640880e-02
      260000       1.260021e-03       1.956606e-04       7.448568e-04       5.698425e-02       4.128364e-03       1.588132e-02
      270000       5.314749e-04       1.291757e-04       3.967662e-04       5.926020e-02       4.601852e-03       1.643688e-02
      280000       1.122156e-03       1.301134e-04       5.975148e-04       7.366713e-02       3.487878e-03       1.620179e-02
      290000       1.141488e-03       1.869119e-04       6.551800e-04       6.277748e-02       4.386705e-03       1.661508e-02
      300000       1.213706e-03       1.456569e-04       6.363981e-04       5.348590e-02       3.466158e-03       1.602493e-02
      310000       8.345677e-04       1.350977e-04       4.230852e-04       7.020502e-02       4.947142e-03       1.578341e-02
      320000       1.335147e-03       1.535269e-04       7.068345e-04       5.903908e-02       4.651418e-03       1.618407e-02
      330000       1.137337e-03       6.787136e-05       6.123615e-04       5.992519e-02       4.528662e-03       1.603400e-02
      340000       1.215477e-03       1.272115e-04       6.461815e-04       4.957656e-02       4.950069e-03       1.648943e-02
      350000       1.155121e-03       1.195468e-04       6.080933e-04       7.732742e-02       4.276595e-03       1.617411e-02
      360000       9.268966e-04       2.786380e-04       5.283161e-04       7.660140e-02       5.267058e-03       1.640767e-02
      370000       1.315360e-03       1.768650e-04       7.645600e-04       8.749145e-02       4.844058e-03       1.628264e-02
      380000       1.667827e-03       2.151448e-04       8.831667e-04       7.656889e-02       4.934343e-03       1.544716e-02
      390000       1.067667e-03       8.396570e-05       5.907446e-04       5.229857e-02       5.372504e-03       1.562533e-02
      400000       1.198228e-03       8.512541e-05       6.253133e-04       1.086088e-01       5.184346e-03       1.632564e-02
      410000       6.143232e-04       9.640298e-05       3.618511e-04       5.130110e-02       5.069529e-03       1.591720e-02
      420000       1.071441e-03       8.652163e-05       4.892440e-04       5.933953e-02       3.869768e-03       1.628582e-02
      430000       6.619772e-04       5.155830e-05       3.380137e-04       7.228510e-02       4.568884e-03       1.726557e-02
      440000       1.155139e-03       8.461394e-05       6.339280e-04       6.389027e-02       4.319576e-03       1.591801e-02
      450000       1.072592e-03       1.482022e-04       5.716565e-04       4.651442e-02       4.327439e-03       1.571825e-02
      460000       1.478962e-03       3.153544e-04       7.783273e-04       7.743886e-02       5.882484e-03       1.612861e-02
      470000       1.848775e-03       3.706594e-04       8.833493e-04       5.791115e-02       3.302475e-03       1.572909e-02
      480000       6.552428e-04       2.205119e-04       4.334483e-04       6.228104e-02       3.743357e-03       1.656549e-02
      490000       1.087121e-03       2.610448e-04       5.909457e-04       1.014972e-01       4.486668e-03       1.598920e-02
      500000       1.628983e-03       5.977225e-05       6.686695e-04       5.431658e-02       5.185629e-03       1.651578e-02
      510000       9.580497e-04       1.872157e-04       5.798906e-04       9.938000e-02       4.366827e-03       1.652025e-02
      520000       9.179830e-04       2.392186e-04       5.282965e-04       6.489263e-02       4.784960e-03       1.588184e-02
      530000       1.055027e-03       9.545804e-05       6.068257e-04       6.643046e-02       4.143518e-03       1.713094e-02
      540000       1.116056e-03       3.032344e-04       6.023495e-04       7.746491e-02       5.101044e-03       1.702316e-02
      550000       1.496989e-03       1.022323e-04       7.327172e-04       9.243775e-02       3.444045e-03       1.669731e-02
      560000       8.694399e-04       1.824994e-04       5.168340e-04       7.683968e-02       3.981007e-03       1.641682e-02
      570000       9.070688e-04       9.425693e-05       5.782833e-04       5.834408e-02       4.226157e-03       1.634757e-02
      580000       1.574916e-03       1.228472e-04       6.857887e-04       5.919352e-02       4.131222e-03       1.664164e-02
      590000       1.169743e-03       2.330086e-04       6.150724e-04       8.092059e-02       4.228742e-03       1.617389e-02
      600000       1.770903e-03       1.612901e-04       9.300941e-04       6.260086e-02       4.849098e-03       1.562645e-02
      610000       1.093829e-03       1.732937e-04       6.001895e-04       6.411891e-02       3.651035e-03       1.579150e-02
      620000       6.627121e-04       1.933227e-04       3.734874e-04       5.662564e-02       4.957680e-03       1.666060e-02
      630000       1.013355e-03       1.774259e-04       5.194456e-04       6.577790e-02       3.428482e-03       1.635100e-02
      640000       1.544368e-03       2.019829e-04       7.219005e-04       5.524132e-02       4.596701e-03       1.560247e-02
      650000       9.737175e-04       1.225889e-04       5.495012e-04       5.933619e-02       3.490422e-03       1.586236e-02
      660000       1.543252e-03       2.473531e-04       7.787249e-04       6.786580e-02       4.893360e-03       1.541107e-02
      670000       1.361417e-03       1.737231e-04       7.807139e-04       6.008789e-02       5.105362e-03       1.627216e-02
      680000       9.917630e-04       1.409379e-04       5.462012e-04       8.131940e-02       4.944095e-03       1.614492e-02
      690000       1.191033e-03       5.259007e-05       6.308973e-04       4.953352e-02       4.684526e-03       1.595049e-02
      700000       1.159963e-03       3.234845e-04       6.376040e-04       6.412722e-02       4.704122e-03       1.572244e-02
      710000       1.364588e-03       2.951459e-04       6.218768e-04       9.306162e-02       3.911522e-03       1.595473e-02
      720000       9.229026e-04       2.419373e-04       4.646423e-04       5.931591e-02       4.478387e-03       1.579716e-02
      730000       9.278763e-04       6.710312e-05       4.669210e-04       4.944289e-02       3.993636e-03       1.505206e-02
      740000       7.762253e-04       2.083042e-04       4.889650e-04       1.105714e-01       4.801649e-03       1.716452e-02
      750000       1.100667e-03       1.930588e-04       6.105442e-04       6.276403e-02       4.016807e-03       1.603845e-02
      760000       1.106888e-03       2.175626e-04       5.734813e-04       7.423861e-02       4.917556e-03       1.531157e-02
      770000       7.698736e-04       1.321816e-04       4.196431e-04       4.296985e-02       3.852396e-03       1.608796e-02
      780000       7.642151e-04       8.946238e-05       3.699563e-04       1.019150e-01       4.344290e-03       1.606061e-02
      790000       8.226511e-04       1.315470e-04       4.576174e-04       7.641550e-02       4.176172e-03       1.616560e-02
      800000       1.299251e-03       1.156787e-04       6.849525e-04       6.895505e-02       4.899334e-03       1.574703e-02
      810000       1.068799e-03       2.282514e-04       5.268458e-04       5.674123e-02       4.768954e-03       1.543463e-02
      820000       7.279407e-04       6.708289e-05       4.073727e-04       5.843848e-02       4.204007e-03       1.607065e-02
      830000       9.180864e-04       2.100392e-04       4.931483e-04       8.405824e-02       2.671711e-03       1.576346e-02
      840000       8.739394e-04       1.341258e-04       4.649539e-04       7.656229e-02       3.440718e-03       1.616613e-02
      850000       1.178683e-03       1.792564e-04       6.227559e-04       7.461159e-02       3.623321e-03       1.575135e-02
      860000       1.082712e-03       2.068251e-04       5.493991e-04       6.732289e-02       4.901389e-03       1.559417e-02
      870000       5.623062e-04       9.303839e-05       3.396842e-04       7.350030e-02       4.451428e-03       1.627950e-02
      880000       1.493649e-03       1.299010e-04       8.606041e-04       6.068661e-02       4.620089e-03       1.641438e-02
      890000       1.057389e-03       1.870872e-04       5.463755e-04       7.210383e-02       4.970170e-03       1.618334e-02
      900000       4.161021e-04       1.806935e-04       2.922536e-04       6.275255e-02       4.880566e-03       1.547767e-02
      910000       1.276453e-03       2.499579e-04       7.270261e-04       7.554334e-02       4.419095e-03       1.605838e-02
      920000       1.029235e-03       1.267632e-04       4.563198e-04       7.292833e-02       4.788179e-03       1.652063e-02
      930000       1.019682e-03       2.086655e-04       5.646352e-04       5.836712e-02       4.132805e-03       1.570901e-02
      940000       1.215818e-03       1.185644e-04       5.126947e-04       6.897023e-02       4.346681e-03       1.631497e-02
      950000       5.800256e-04       1.653283e-04       3.955009e-04       6.287773e-02       3.775544e-03       1.503858e-02
      960000       7.491965e-04       1.889654e-04       4.202117e-04       9.046511e-02       3.346061e-03       1.715745e-02
      970000       1.385543e-03       1.208164e-04       6.662336e-04       5.930527e-02       5.458143e-03       1.645715e-02
      980000       6.185065e-04       1.969686e-04       3.497342e-04       9.715755e-02       2.904056e-03       1.579900e-02
      990000       1.084502e-03       2.286767e-04       5.813629e-04       7.686847e-02       2.574171e-03       1.666761e-02
     1000000       1.117132e-03       6.690541e-05       4.449702e-04       1.400096e-01       4.983630e-03       1.634131e-02
     1010000       1.173784e-03       2.958376e-04       6.534312e-04       6.831100e-02       4.915558e-03       1.582743e-02
     1020000       1.007192e-03       1.353895e-04       5.701074e-04       8.972774e-02       4.646118e-03       1.612693e-02
     1030000       8.500807e-04       1.650495e-04       4.230519e-04       1.015923e-01       3.400101e-03       1.645718e-02
     1040000       1.150194e-03       1.763181e-04       6.141977e-04       8.063087e-02       4.931936e-03       1.711189e-02
     1050000       9.463760e-04       2.647876e-04       5.081696e-04       7.514555e-02       3.918080e-03       1.574329e-02
     1060000       1.567584e-03       1.449303e-04       7.221473e-04       7.740956e-02       4.545983e-03       1.562649e-02
     1070000       6.641542e-04       2.073859e-04       3.323364e-04       7.291528e-02       4.613641e-03       1.601258e-02
     1080000       9.446659e-04       1.935192e-04       4.779393e-04       7.891445e-02       4.566198e-03       1.617421e-02
     1090000       9.080538e-04       1.889591e-04       5.094407e-04       6.859778e-02       3.217220e-03       1.614697e-02
     1100000       9.599392e-04       1.466546e-04       4.356406e-04       6.602922e-02       4.450591e-03       1.588409e-02
     1110000       6.746430e-04       1.947505e-04       4.161500e-04       6.375696e-02       5.388347e-03       1.584424e-02
     1120000       7.370645e-04       7.352602e-05       4.037022e-04       6.007770e-02       4.357356e-03       1.597568e-02
     1130000       7.870086e-04       2.967724e-04       5.128258e-04       7.958043e-02       4.811063e-03       1.601548e-02
     1140000       8.221894e-04       1.747266e-04       4.569727e-04       4.813112e-02       2.497175e-03       1.496517e-02
     1150000       8.485825e-04       1.061136e-04       4.122437e-04       9.435567e-02       4.690155e-03       1.661445e-02
     1160000       1.238054e-03       2.749046e-04       6.505175e-04       8.025420e-02       4.098564e-03       1.616840e-02
     1170000       9.317440e-04       1.922632e-04       5.128103e-04       6.849242e-02       4.961184e-03       1.679212e-02
