#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       7.024704e-04       5.624291e-05       3.560017e-04       2.586613e-01       2.955078e-03       1.584417e-02
        2000       5.385510e-04       3.149602e-05       2.921384e-04       6.142981e-02       2.877829e-03       1.468846e-02
        4000       5.287379e-04       8.284937e-05       3.060829e-04       8.718573e-02       2.870578e-03       1.496692e-02
        6000       4.425972e-04       3.334404e-05       2.108371e-04       8.587234e-02       3.168026e-03       1.496026e-02
        8000       5.158568e-04       4.017936e-05       2.726867e-04       7.043533e-02       3.251571e-03       1.491880e-02
       10000       6.809768e-04       8.057580e-05       3.480822e-04       1.154555e-01       2.626994e-03       1.501911e-02
       12000       5.621771e-04       8.065778e-05       2.964159e-04       7.768702e-02       4.161254e-03       1.477074e-02
       14000       6.280861e-04       2.578730e-05       3.368776e-04       5.518618e-02       2.917298e-03       1.451370e-02
       16000       7.296726e-04       4.746464e-05       3.921430e-04       7.486220e-02       3.123163e-03       1.490054e-02
       18000       6.560694e-04       4.334486e-05       3.328856e-04       5.612980e-02       1.740774e-03       1.442227e-02
       20000       5.837461e-04       1.360063e-05       3.212321e-04       2.021330e-01       3.490959e-03       1.458162e-02
           0       7.035170e-04       3.734648e-05       3.721656e-04       1.858747e-01       3.580765e-03       1.458147e-02
        2000       6.650459e-04       5.904484e-05       3.775676e-04       5.858193e-02       3.946065e-03       1.447510e-02
        4000       7.738069e-04       4.527185e-05       4.291621e-04       9.069820e-02       3.261843e-03       1.430183e-02
        6000       5.631555e-04       8.220285e-05       3.275134e-04       7.569187e-02       2.785226e-03       1.432185e-02
        8000       7.408256e-04       3.482201e-05       3.813618e-04       6.381779e-02       3.594699e-03       1.475701e-02
       10000       6.114222e-04       2.851998e-05       3.194697e-04       6.646316e-02       3.561775e-03       1.468040e-02
       12000       6.140847e-04       4.165260e-05       3.060034e-04       9.920672e-02       2.905053e-03       1.497177e-02
       14000       5.465719e-04       4.723829e-05       2.827377e-04       8.690037e-02       3.681596e-03       1.506773e-02
       16000       6.701174e-04       8.349827e-05       3.637235e-04       1.026800e-01       3.496938e-03       1.440353e-02
       18000       5.752168e-04       1.690984e-05       3.166462e-04       9.015374e-02       2.670410e-03       1.478918e-02
       20000       5.505611e-04       5.006785e-05       2.936266e-04       9.210301e-02       3.377313e-03       1.473997e-02
       22000       5.145349e-04       2.314983e-05       2.520570e-04       8.270240e-02       3.899596e-03       1.513045e-02
       24000       5.176485e-04       4.700161e-05       2.667045e-04       8.226640e-02       3.440995e-03       1.452033e-02
       26000       5.603975e-04       3.997296e-05       2.750886e-04       6.914573e-02       3.109738e-03       1.458010e-02
       28000       7.712245e-04       4.543905e-05       4.485084e-04       1.347109e-01       3.782180e-03       1.505004e-02
       30000       5.304429e-04       6.192768e-05       2.838585e-04       6.813089e-02       3.262046e-03       1.431113e-02
       32000       5.483714e-04       2.670672e-05       2.942737e-04       8.332684e-02       3.432367e-03       1.481564e-02
       34000       6.348626e-04       4.180330e-05       3.235224e-04       6.838569e-02       4.018413e-03       1.468035e-02
       36000       3.205785e-04       5.934562e-05       1.906326e-04       1.313814e-01       3.591186e-03       1.443139e-02
       38000       5.826402e-04       7.862872e-05       2.915755e-04       9.316390e-02       3.612390e-03       1.459421e-02
       40000       5.331667e-04       6.242268e-05       2.923519e-04       1.038994e-01       2.821075e-03       1.459489e-02
       42000       6.257687e-04       5.741183e-05       3.245839e-04       6.953450e-02       3.558937e-03       1.460927e-02
