#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.150336e-03       9.280011e-05       6.129568e-04       1.600954e-01       2.586901e-03       1.912685e-02
        2000       3.648383e-04       5.254302e-05       2.011031e-04       6.622262e-02       3.641575e-03       1.493330e-02
        4000       6.294590e-04       9.626335e-05       3.458223e-04       6.574836e-02       2.889110e-03       1.506883e-02
        6000       4.664222e-04       6.814129e-05       2.704120e-04       5.834575e-02       4.098392e-03       1.443432e-02
        8000       6.271836e-04       1.194924e-04       3.127367e-04       5.704158e-02       4.198316e-03       1.543961e-02
       10000       6.464257e-04       7.814944e-05       3.198741e-04       7.661131e-02       4.169625e-03       1.526312e-02
       12000       5.820029e-04       4.761966e-05       2.965356e-04       7.283397e-02       4.246526e-03       1.463344e-02
       14000       5.783963e-04       5.604238e-05       2.627060e-04       5.085210e-02       3.426044e-03       1.478606e-02
       16000       5.270949e-04       3.002769e-05       2.836643e-04       5.887995e-02       4.108377e-03       1.456567e-02
       18000       5.874441e-04       6.082314e-05       3.226933e-04       9.418767e-02       4.253671e-03       1.497504e-02
       20000       7.582119e-04       5.473277e-05       4.128821e-04       5.479498e-02       4.765249e-03       1.475381e-02
           0       7.072314e-04       6.739223e-05       3.861242e-04       6.311876e-02       3.955428e-03       1.466194e-02
        2000       4.151781e-04       7.735337e-05       2.381401e-04       7.235479e-02       4.244619e-03       1.490068e-02
        4000       5.847973e-04       1.245400e-04       3.500498e-04       8.776485e-02       4.220477e-03       1.510656e-02
        6000       6.320717e-04       6.967128e-05       3.742497e-04       5.713274e-02       3.023714e-03       1.489848e-02
        8000       4.991606e-04       5.676809e-05       2.599829e-04       6.462876e-02       4.371902e-03       1.460889e-02
       10000       7.808277e-04       4.341526e-05       4.165649e-04       7.363797e-02       2.864766e-03       1.510981e-02
       12000       3.420454e-04       8.901903e-05       2.111148e-04       5.607902e-02       2.263406e-03       1.509272e-02
       14000       5.966250e-04       5.342603e-05       2.922687e-04       7.594867e-02       4.330216e-03       1.494807e-02
       16000       5.495815e-04       4.938363e-05       2.976188e-04       6.720787e-02       4.081329e-03       1.453512e-02
       18000       6.944051e-04       5.484693e-05       3.727545e-04       7.547379e-02       3.756693e-03       1.501701e-02
       20000       8.865793e-04       1.436664e-04       4.314468e-04       5.738216e-02       3.878305e-03       1.450810e-02
       22000       7.119111e-04       6.862781e-05       3.840584e-04       1.201192e-01       3.364604e-03       1.483912e-02
       24000       7.817891e-04       7.452726e-05       3.829569e-04       5.666518e-02       3.276184e-03       1.490827e-02
       26000       4.666840e-04       5.660854e-05       2.628754e-04       5.651626e-02       4.093655e-03       1.504656e-02
       28000       4.254547e-04       5.631883e-05       2.167284e-04       5.319444e-02       3.400948e-03       1.464925e-02
       30000       8.188887e-04       5.379442e-05       3.994067e-04       7.541406e-02       3.374552e-03       1.431943e-02
       32000       6.312876e-04       4.180937e-05       3.089187e-04       6.463433e-02       4.122748e-03       1.505975e-02
       34000       5.972912e-04       6.057517e-05       3.026592e-04       5.598696e-02       4.242680e-03       1.422807e-02
       36000       8.880318e-04       2.387674e-05       4.447659e-04       7.359160e-02       3.072792e-03       1.458088e-02
       38000       6.201904e-04       5.388528e-05       3.170582e-04       4.892318e-02       3.188977e-03       1.460984e-02
       40000       6.949047e-04       4.266153e-05       3.624700e-04       6.771166e-02       3.431908e-03       1.543777e-02
       42000       5.466576e-04       6.841472e-05       3.220216e-04       5.180858e-02       3.189969e-03       1.445911e-02
