#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       5.253481e-04       1.403796e-04       2.904482e-04       9.080910e-02       5.014800e-03       2.022124e-02
        2000       5.479688e-04       7.171776e-05       3.033414e-04       5.471340e-02       3.852439e-03       1.603616e-02
        4000       8.951462e-04       1.997523e-04       4.870161e-04       5.284868e-02       5.337937e-03       1.644529e-02
        6000       7.350563e-04       1.281171e-04       4.098488e-04       7.449606e-02       3.564920e-03       1.638207e-02
        8000       5.388572e-04       9.702023e-05       3.722015e-04       4.263435e-02       3.505670e-03       1.497924e-02
       10000       6.163219e-04       1.939366e-04       4.303656e-04       4.875988e-02       4.001703e-03       1.613633e-02
           0       6.673276e-04       2.232273e-04       4.315547e-04       4.573678e-02       4.527788e-03       1.612213e-02
        2000       1.036415e-03       1.362829e-04       5.434253e-04       5.063450e-02       4.346305e-03       1.463717e-02
        4000       8.717182e-04       4.981213e-05       4.463719e-04       4.207793e-02       4.117135e-03       1.526096e-02
        6000       8.863289e-04       1.598113e-04       4.921441e-04       1.085116e-01       4.446546e-03       1.564460e-02
        8000       7.344807e-04       9.493713e-05       3.901031e-04       3.698474e-02       4.744610e-03       1.441710e-02
       10000       1.038731e-03       2.953360e-04       5.991969e-04       6.093298e-02       4.371216e-03       1.550476e-02
       12000       7.297048e-04       1.656998e-04       4.314791e-04       5.283811e-02       5.322108e-03       1.587290e-02
       14000       3.847666e-04       7.727787e-05       3.097427e-04       5.677183e-02       4.700738e-03       1.542562e-02
       16000       6.210174e-04       1.459779e-04       4.337157e-04       1.378825e-01       4.796356e-03       1.688027e-02
       18000       9.863586e-04       5.981917e-05       5.094036e-04       5.890456e-02       4.301013e-03       1.570916e-02
       20000       1.212757e-03       1.268839e-04       6.391835e-04       7.110733e-02       3.627060e-03       1.566591e-02
       22000       7.918975e-04       6.992922e-05       4.354447e-04       5.905233e-02       4.042564e-03       1.571921e-02
       24000       1.179409e-03       1.813312e-04       5.467601e-04       5.345030e-02       3.972380e-03       1.513049e-02
       26000       1.353081e-03       1.148082e-04       6.638737e-04       6.475233e-02       5.112118e-03       1.688205e-02
       28000       1.263671e-03       2.009341e-04       6.895261e-04       5.003850e-02       4.750224e-03       1.545400e-02
       30000       1.341800e-03       7.044942e-05       7.344256e-04       4.694558e-02       2.985628e-03       1.551090e-02
       32000       8.523284e-04       1.146560e-04       3.968891e-04       4.202290e-02       4.393461e-03       1.444120e-02
       34000       6.355466e-04       1.364465e-04       3.995662e-04       5.229686e-02       4.239657e-03       1.496917e-02
       36000       7.495373e-04       1.746015e-04       4.196303e-04       5.081835e-02       3.206714e-03       1.540840e-02
       38000       1.035552e-03       3.847479e-05       4.724224e-04       4.394950e-02       4.075641e-03       1.554622e-02
       40000       9.010679e-04       2.786234e-04       5.432595e-04       4.845777e-02       3.944634e-03       1.617255e-02
       42000       9.352521e-04       1.683505e-04       5.082688e-04       5.885863e-02       4.226021e-03       1.486153e-02
       44000       9.880901e-04       1.501154e-04       4.474914e-04       4.914037e-02       4.795610e-03       1.547998e-02
       46000       1.019978e-03       1.470255e-04       4.922285e-04       5.425541e-02       3.281800e-03       1.536029e-02
       48000       8.090424e-04       2.997518e-04       4.597749e-04       1.585151e-01       3.925465e-03       1.520334e-02
       50000       1.104918e-03       1.014253e-04       4.972386e-04       5.270592e-02       4.866528e-03       1.452923e-02
       52000       9.123658e-04       1.623164e-04       4.664326e-04       6.030292e-02       4.036758e-03       1.557605e-02
       54000       1.038835e-03       1.815330e-04       5.191240e-04       4.629032e-02       4.422909e-03       1.520058e-02
       56000       8.558554e-04       2.204509e-04       5.003566e-04       8.162097e-02       4.500134e-03       1.565207e-02
       58000       8.071760e-04       1.606623e-04       4.336814e-04       1.114056e-01       4.770104e-03       1.556993e-02
       60000       1.057527e-03       1.794373e-04       6.253894e-04       5.834606e-02       4.503584e-03       1.571417e-02
       62000       1.054944e-03       1.978187e-04       5.733831e-04       6.058083e-02       4.591771e-03       1.577876e-02
       64000       6.936253e-04       1.664812e-04       4.353080e-04       4.532628e-02       3.472934e-03       1.479494e-02
       66000       1.070569e-03       2.850585e-04       5.702650e-04       3.741144e-02       5.497723e-03       1.468362e-02
       68000       9.652649e-04       1.637798e-04       4.584382e-04       7.022831e-02       4.331805e-03       1.535914e-02
       70000       8.592497e-04       9.108524e-05       4.912390e-04       3.430946e-02       4.067594e-03       1.421590e-02
       72000       8.671363e-04       1.552636e-04       4.432250e-04       4.194975e-02       4.312126e-03       1.466004e-02
       74000       4.180434e-04       1.429376e-04       2.737346e-04       4.981686e-02       3.850293e-03       1.513865e-02
       76000       5.284113e-04       1.686883e-04       3.255935e-04       1.475504e-01       3.747092e-03       1.523886e-02
       78000       1.034159e-03       2.180887e-04       5.367468e-04       5.357004e-02       4.354109e-03       1.501730e-02
       80000       6.924627e-04       1.330939e-04       4.185597e-04       4.771747e-02       4.612389e-03       1.529709e-02
       82000       5.389456e-04       3.384188e-04       4.189904e-04       6.575278e-02       4.078530e-03       1.580877e-02
       84000       1.095104e-03       1.155145e-04       5.074987e-04       6.073973e-02       4.077160e-03       1.495910e-02
       86000       7.833757e-04       1.807351e-04       4.515560e-04       7.046744e-02       3.859563e-03       1.574657e-02
       88000       9.704937e-04       1.601727e-04       4.995587e-04       6.581180e-02       3.938581e-03       1.560120e-02
       90000       7.428731e-04       2.799798e-04       4.019624e-04       5.931306e-02       4.249591e-03       1.561618e-02
       92000       7.798844e-04       1.765271e-04       4.426183e-04       6.103821e-02       5.524843e-03       1.641192e-02
       94000       1.204970e-03       2.066939e-04       6.438744e-04       4.611818e-02       4.460883e-03       1.505651e-02
       96000       9.302990e-04       2.031065e-04       4.976260e-04       4.997030e-02       2.778553e-03       1.538513e-02
       98000       9.205027e-04       1.683605e-04       4.279027e-04       1.012746e-01       5.025409e-03       1.581274e-02
      100000       8.623328e-04       2.309900e-04       5.351799e-04       5.122201e-02       4.743542e-03       1.529844e-02
      102000       5.784569e-04       1.871280e-04       3.753732e-04       4.580892e-02       4.866631e-03       1.555811e-02
      104000       7.355489e-04       1.482764e-04       3.812576e-04       5.872121e-02       3.954964e-03       1.494800e-02
      106000       4.401838e-04       2.233139e-04       3.044744e-04       5.489671e-02       4.735986e-03       1.505857e-02
      108000       4.639414e-04       9.298758e-05       2.809998e-04       5.495690e-02       4.030336e-03       1.568363e-02
      110000       1.050290e-03       1.722901e-04       6.366229e-04       3.745401e-02       5.270756e-03       1.469323e-02
      112000       1.084766e-03       1.320668e-04       5.623226e-04       5.603380e-02       3.915584e-03       1.430856e-02
      114000       1.326734e-03       1.742769e-04       7.056067e-04       6.646158e-02       4.906583e-03       1.607447e-02
      116000       8.601107e-04       1.409258e-04       4.607437e-04       4.417290e-02       3.788732e-03       1.610837e-02
      118000       9.905900e-04       2.274534e-04       5.237085e-04       4.142805e-02       4.130079e-03       1.542388e-02
      120000       1.129228e-03       2.315416e-04       5.991815e-04       4.523767e-02       4.044340e-03       1.489485e-02
      122000       6.137010e-04       9.949137e-05       3.520758e-04       7.208682e-02       3.940615e-03       1.484373e-02
      124000       8.832896e-04       1.715139e-04       4.617770e-04       5.411561e-02       4.744264e-03       1.555742e-02
      126000       5.189328e-04       7.677985e-05       2.992021e-04       5.617404e-02       1.942433e-03       1.601524e-02
      128000       1.049966e-03       3.034204e-04       4.965977e-04       6.440604e-02       4.939863e-03       1.678153e-02
      130000       7.598278e-04       2.568759e-04       4.296142e-04       5.067362e-02       4.920634e-03       1.475401e-02
      132000       1.017362e-03       9.018450e-05       4.891122e-04       8.832892e-02       4.585409e-03       1.693778e-02
      134000       9.664255e-04       1.252187e-04       5.053281e-04       5.485655e-02       5.365477e-03       1.514308e-02
