#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       7.848138e-04       4.126535e-05       3.872497e-04       4.287486e-01       2.955078e-03       1.542196e-02
        2000       6.081451e-04       3.820819e-05       3.049863e-04       7.014469e-02       3.903662e-03       1.472563e-02
        4000       5.036667e-04       7.075214e-05       2.902989e-04       1.307161e-01       3.744977e-03       1.479163e-02
        6000       3.903388e-04       4.108469e-05       2.231231e-04       7.585453e-02       2.805523e-03       1.458534e-02
        8000       7.011581e-04       5.334852e-05       3.886280e-04       8.172167e-02       2.889764e-03       1.467746e-02
       10000       6.592374e-04       3.272434e-05       3.615089e-04       7.131649e-02       3.250030e-03       1.484210e-02
       12000       5.833754e-04       4.548358e-05       3.110340e-04       5.707516e-02       3.434640e-03       1.461642e-02
       14000       6.213684e-04       6.134596e-05       3.505051e-04       6.460001e-02       3.717474e-03       1.477107e-02
       16000       6.718371e-04       3.097636e-05       3.722317e-04       6.292654e-02       3.246881e-03       1.448208e-02
       18000       5.538861e-04       5.635297e-05       2.977985e-04       8.603296e-02       3.349455e-03       1.435408e-02
       20000       8.042709e-04       7.180796e-05       4.155382e-04       6.073973e-02       3.757371e-03       1.457894e-02
           0       6.813919e-04       7.165247e-05       3.699517e-04       6.725631e-02       3.827922e-03       1.453514e-02
        2000       5.872234e-04       3.687445e-05       2.894879e-04       6.583249e-02       3.294604e-03       1.461753e-02
        4000       6.615365e-04       5.258818e-05       3.589873e-04       7.980886e-02       3.751938e-03       1.495942e-02
        6000       5.588947e-04       5.545847e-05       2.997025e-04       6.292175e-02       3.057936e-03       1.457558e-02
        8000       6.161349e-04       1.313311e-05       3.296303e-04       7.021590e-02       2.739796e-03       1.466231e-02
       10000       7.015761e-04       3.430429e-05       3.657081e-04       6.163796e-02       3.419801e-03       1.436588e-02
       12000       5.772931e-04       1.569839e-05       2.935019e-04       8.169012e-02       2.857359e-03       1.482095e-02
       14000       4.682515e-04       4.090384e-05       2.530353e-04       1.267011e-01       3.103995e-03       1.480591e-02
       16000       5.883491e-04       5.040175e-05       3.369370e-04       7.995806e-02       3.478273e-03       1.482717e-02
       18000       6.277087e-04       1.015638e-04       3.101229e-04       9.795139e-02       3.357241e-03       1.471657e-02
       20000       6.408247e-04       5.898828e-05       3.350399e-04       6.990887e-02       2.607554e-03       1.442742e-02
       22000       5.901788e-04       3.190275e-05       3.248789e-04       9.990503e-02       2.712909e-03       1.494009e-02
       24000       6.101339e-04       3.196576e-05       3.486246e-04       1.237935e-01       3.179932e-03       1.455362e-02
       26000       7.339361e-04       3.267748e-05       3.870924e-04       7.891739e-02       4.061200e-03       1.479034e-02
       28000       4.833684e-04       3.781782e-05       2.602430e-04       7.494405e-02       2.329171e-03       1.445785e-02
       30000       5.562466e-04       5.989897e-05       3.069029e-04       1.127993e-01       2.927334e-03       1.483761e-02
       32000       7.588922e-04       7.755550e-05       4.162957e-04       8.865061e-02       2.962606e-03       1.466359e-02
       34000       6.485049e-04       3.657022e-05       3.669039e-04       8.364306e-02       2.882748e-03       1.445378e-02
       36000       6.741191e-04       4.572654e-05       3.549686e-04       7.418801e-02       3.546956e-03       1.465332e-02
       38000       6.342102e-04       6.731600e-05       3.339769e-04       8.587988e-02       3.417202e-03       1.467854e-02
       40000       5.300701e-04       6.722319e-05       2.685515e-04       9.478315e-02       2.808952e-03       1.482772e-02
       42000       6.576750e-04       7.425246e-05       3.247030e-04       8.910565e-02       2.383012e-03       1.488448e-02
       44000       4.923964e-04       7.047994e-05       2.719384e-04       6.680820e-02       3.246347e-03       1.484435e-02
       46000       6.050386e-04       6.121782e-05       3.197175e-04       7.239121e-02       3.616315e-03       1.469079e-02
       48000       5.554760e-04       5.620028e-05       3.166665e-04       7.079741e-02       3.766044e-03       1.466405e-02
       50000       6.833266e-04       6.428229e-05       3.586708e-04       6.111911e-02       3.673865e-03       1.460734e-02
       52000       5.870991e-04       3.027073e-05       2.968905e-04       9.370337e-02       2.929267e-03       1.478193e-02
       54000       4.644438e-04       3.693930e-05       2.485389e-04       5.782730e-02       3.779777e-03       1.432618e-02
       56000       6.034005e-04       7.212651e-05       3.418121e-04       1.575074e-01       2.967595e-03       1.471064e-02
       58000       5.235203e-04       1.912221e-05       2.719621e-04       1.067954e-01       2.889957e-03       1.478024e-02
       60000       5.130939e-04       2.433700e-05       2.637573e-04       6.549934e-02       3.124411e-03       1.469140e-02
       62000       6.382744e-04       2.383561e-05       3.461227e-04       8.632889e-02       3.052547e-03       1.460829e-02
       64000       5.210917e-04       4.255289e-05       2.703570e-04       9.918294e-02       3.091759e-03       1.443582e-02
       66000       5.180742e-04       6.572605e-05       2.919885e-04       1.739154e-01       3.228144e-03       1.455213e-02
       68000       5.649675e-04       3.816805e-05       3.208902e-04       8.957848e-02       3.591195e-03       1.445411e-02
       70000       7.542260e-04       5.207652e-05       3.669634e-04       7.132445e-02       3.391556e-03       1.433470e-02
       72000       5.866135e-04       2.022225e-05       3.040781e-04       7.643498e-02       2.510640e-03       1.437907e-02
       74000       6.221191e-04       6.279370e-05       3.294037e-04       6.830481e-02       3.463770e-03       1.423565e-02
       76000       5.361954e-04       5.256476e-05       3.161369e-04       1.126150e-01       3.133218e-03       1.472608e-02
       78000       4.303413e-04       4.385206e-05       2.185261e-04       7.598978e-02       3.652039e-03       1.481698e-02
       80000       7.088907e-04       6.723413e-05       4.030481e-04       6.693872e-02       3.128846e-03       1.450514e-02
       82000       5.073627e-04       6.994633e-05       2.802213e-04       1.518922e-01       3.040303e-03       1.460727e-02
       84000       7.667800e-04       3.461530e-05       4.055990e-04       7.268713e-02       3.408878e-03       1.474684e-02
       86000       4.904914e-04       8.399163e-05       2.799177e-04       6.983861e-02       2.883388e-03       1.474918e-02
       88000       7.244406e-04       4.557466e-05       3.977421e-04       7.310720e-02       3.444312e-03       1.451229e-02
       90000       6.159661e-04       7.336101e-05       3.421107e-04       8.298872e-02       3.573643e-03       1.458510e-02
       92000       6.679792e-04       3.829395e-05       3.553832e-04       1.319583e-01       3.122258e-03       1.476988e-02
       94000       6.643960e-04       4.229751e-05       3.078833e-04       9.339077e-02       3.170670e-03       1.497348e-02
       96000       6.529471e-04       1.624946e-05       3.271066e-04       7.645744e-02       3.496748e-03       1.459528e-02
       98000       4.853579e-04       2.960541e-05       2.696475e-04       7.766386e-02       2.987199e-03       1.425521e-02
