#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.332342e-03       1.161458e-04       6.885577e-04       6.622346e-01       2.586901e-03       2.074940e-02
        2000       5.189328e-04       6.854362e-05       2.931370e-04       7.027312e-02       4.189121e-03       1.510900e-02
        4000       6.544643e-04       9.417694e-05       3.717912e-04       1.544412e-01       3.669341e-03       1.532752e-02
        6000       7.547762e-04       4.694563e-05       4.137848e-04       5.271559e-02       3.236610e-03       1.509755e-02
        8000       4.610884e-04       1.143185e-04       2.675042e-04       5.715946e-02       3.763609e-03       1.510790e-02
       10000       3.808474e-04       7.000316e-05       2.102321e-04       6.606311e-02       3.529350e-03       1.529897e-02
       12000       5.687412e-04       3.078645e-05       3.137066e-04       8.705267e-02       3.591553e-03       1.516027e-02
       14000       6.978697e-04       7.571510e-05       3.711775e-04       7.864956e-02       3.163125e-03       1.514057e-02
       16000       4.273490e-04       5.729878e-05       2.009660e-04       8.424028e-02       4.030386e-03       1.530006e-02
       18000       6.920645e-04       9.601730e-05       3.760215e-04       5.597197e-02       3.185758e-03       1.482231e-02
       20000       6.490129e-04       5.318596e-05       3.520325e-04       6.889101e-02       4.309760e-03       1.495777e-02
           0       5.938101e-04       1.092575e-04       3.481571e-04       7.889229e-02       2.487237e-03       1.504622e-02
        2000       7.182110e-04       7.408268e-05       3.942410e-04       8.632377e-02       3.183320e-03       1.509221e-02
        4000       7.263108e-04       6.765037e-05       3.910859e-04       7.874865e-02       3.688977e-03       1.464247e-02
        6000       6.726226e-04       6.136443e-05       3.271673e-04       6.864975e-02       4.248707e-03       1.437116e-02
        8000       8.315168e-04       1.170455e-04       4.118444e-04       8.133952e-02       3.508930e-03       1.456730e-02
       10000       4.401763e-04       2.696969e-05       2.420682e-04       8.481709e-02       3.449421e-03       1.515940e-02
       12000       5.566041e-04       7.092512e-05       3.043679e-04       6.834565e-02       4.101314e-03       1.452319e-02
       14000       6.223928e-04       9.543396e-05       3.159296e-04       4.841969e-02       3.784600e-03       1.416078e-02
       16000       5.359057e-04       4.814114e-05       2.758499e-04       1.446498e-01       3.993804e-03       1.474299e-02
       18000       6.841576e-04       3.908765e-05       3.835269e-04       5.555682e-02       2.903677e-03       1.426638e-02
       20000       7.992632e-04       7.534555e-05       4.489353e-04       7.605719e-02       4.142911e-03       1.449759e-02
       22000       6.786313e-04       4.347734e-05       3.651384e-04       7.460125e-02       4.074959e-03       1.443312e-02
       24000       7.755984e-04       5.142807e-05       3.842231e-04       6.264165e-02       3.830084e-03       1.476681e-02
       26000       5.370823e-04       7.780241e-05       2.829236e-04       7.972678e-02       2.721571e-03       1.483791e-02
       28000       4.603050e-04       1.052891e-04       2.574226e-04       5.244030e-02       3.617051e-03       1.464195e-02
       30000       5.733841e-04       6.197635e-05       2.551998e-04       6.626689e-02       3.820833e-03       1.487302e-02
