#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.912601e-03       2.371538e-04       1.586269e-03       6.126618e-01       4.680408e-03       2.879909e-02
        2000       1.027053e-03       5.436731e-05       5.530814e-04       6.976415e-02       5.180324e-03       1.598521e-02
        4000       8.807620e-04       1.109137e-04       4.108244e-04       7.851538e-02       3.586324e-03       1.568697e-02
        6000       1.308742e-03       2.447000e-04       7.435438e-04       6.779104e-02       4.455397e-03       1.470125e-02
        8000       8.695777e-04       8.051821e-05       5.452481e-04       9.144824e-02       4.607026e-03       1.497367e-02
       10000       7.337402e-04       1.286960e-04       3.986195e-04       5.406988e-02       4.278358e-03       1.562196e-02
           0       8.368038e-04       1.027144e-04       4.454221e-04       6.676799e-02       5.224124e-03       1.570508e-02
        2000       8.568470e-04       1.274454e-04       3.977189e-04       5.865243e-02       4.839390e-03       1.570234e-02
        4000       7.467628e-04       1.432905e-04       3.959405e-04       5.472377e-02       4.905250e-03       1.464824e-02
        6000       1.167336e-03       1.257447e-04       5.974623e-04       4.279302e-02       3.475622e-03       1.485274e-02
        8000       9.722700e-04       2.365332e-04       5.095317e-04       6.994008e-02       3.449041e-03       1.520277e-02
       10000       1.057815e-03       3.936813e-05       5.615344e-04       6.646397e-02       3.344752e-03       1.507018e-02
       12000       5.294544e-04       7.807841e-05       3.199377e-04       6.257554e-02       3.966158e-03       1.563970e-02
       14000       9.510911e-04       1.257481e-04       4.246318e-04       7.509169e-02       4.205625e-03       1.550878e-02
       16000       5.785292e-04       9.562957e-05       3.383217e-04       4.642401e-02       3.501092e-03       1.502347e-02
       18000       6.899096e-04       1.686996e-04       3.935465e-04       7.585058e-02       4.219316e-03       1.537876e-02
       20000       1.147461e-03       6.195489e-05       6.159963e-04       4.904906e-02       4.313236e-03       1.542769e-02
       22000       8.355745e-04       1.315359e-04       4.447767e-04       5.905466e-02       4.140219e-03       1.614569e-02
       24000       8.116800e-04       1.667153e-04       4.107137e-04       7.357979e-02       4.422958e-03       1.544631e-02
       26000       5.961829e-04       2.177956e-04       3.509113e-04       6.964219e-02       4.432635e-03       1.566707e-02
       28000       8.614227e-04       1.051340e-04       4.333229e-04       1.792882e-01       4.844526e-03       1.679600e-02
       30000       1.287504e-03       1.495869e-04       6.591993e-04       6.283350e-02       4.530271e-03       1.509842e-02
       32000       1.182766e-03       1.184780e-04       5.567379e-04       5.790855e-02       4.788295e-03       1.602138e-02
       34000       1.282934e-03       1.949285e-04       6.523289e-04       5.558504e-02       3.419114e-03       1.542671e-02
       36000       5.436521e-04       1.203250e-04       3.209603e-04       4.894836e-02       4.726312e-03       1.517696e-02
       38000       1.400346e-03       1.595395e-04       7.768806e-04       6.791087e-02       4.763447e-03       1.614665e-02
       40000       7.221896e-04       1.532154e-04       4.523260e-04       5.445617e-02       4.229424e-03       1.492910e-02
       42000       7.938582e-04       1.377766e-04       4.275403e-04       5.803399e-02       5.158564e-03       1.567725e-02
       44000       6.412303e-04       1.151264e-04       3.315682e-04       5.370084e-02       4.501254e-03       1.509136e-02
       46000       1.126028e-03       1.783535e-04       5.422777e-04       4.795760e-02       4.549641e-03       1.582545e-02
       48000       1.296325e-03       1.123442e-04       7.099253e-04       5.605965e-02       4.013749e-03       1.625248e-02
       50000       7.575275e-04       1.863936e-04       4.451818e-04       5.935152e-02       4.835059e-03       1.535119e-02
       52000       1.315632e-03       1.615591e-04       6.357710e-04       7.339282e-02       4.806011e-03       1.607815e-02
       54000       1.237189e-03       1.401943e-04       5.898678e-04       8.050887e-02       2.928589e-03       1.618112e-02
       56000       9.127342e-04       2.092729e-04       5.046228e-04       7.660046e-02       4.385651e-03       1.527111e-02
       58000       6.003755e-04       2.787724e-05       3.386284e-04       6.736779e-02       3.128007e-03       1.603095e-02
       60000       1.254915e-03       2.845662e-04       6.331542e-04       4.965400e-02       4.730235e-03       1.547159e-02
       62000       6.013844e-04       4.439102e-05       3.729666e-04       4.692234e-02       4.753664e-03       1.515018e-02
       64000       1.029372e-03       2.650092e-04       5.813424e-04       5.350005e-02       4.926389e-03       1.613890e-02
       66000       1.218238e-03       1.985356e-04       6.513661e-04       7.507837e-02       4.505811e-03       1.625944e-02
       68000       1.008724e-03       7.287729e-05       5.153895e-04       5.444396e-02       3.882155e-03       1.472561e-02
       70000       1.263689e-03       1.648151e-04       5.409360e-04       6.672727e-02       4.397023e-03       1.459583e-02
       72000       9.037271e-04       1.112029e-04       5.203521e-04       5.305748e-02       4.907073e-03       1.534873e-02
       74000       8.118613e-04       9.345401e-05       3.689733e-04       7.491184e-02       4.320704e-03       1.491754e-02
       76000       1.218495e-03       3.094112e-04       6.391282e-04       1.105727e-01       5.104984e-03       1.646030e-02
       78000       4.392010e-04       1.142730e-04       3.117892e-04       7.043243e-02       4.332052e-03       1.555680e-02
       80000       1.065535e-03       2.413699e-04       5.729674e-04       4.982929e-02       4.172258e-03       1.529975e-02
       82000       8.759986e-04       1.160452e-04       5.004619e-04       5.546968e-02       3.866161e-03       1.538632e-02
       84000       5.616985e-04       8.635945e-05       3.415013e-04       4.627077e-02       4.546571e-03       1.491485e-02
       86000       7.497179e-04       1.232785e-04       4.609220e-04       7.936928e-02       4.554100e-03       1.574390e-02
       88000       9.471398e-04       9.813254e-05       4.442674e-04       4.896078e-02       4.861841e-03       1.555507e-02
       90000       1.050966e-03       2.170575e-04       6.130438e-04       4.849448e-02       4.313922e-03       1.526635e-02
       92000       9.088472e-04       6.208049e-05       4.352547e-04       7.370489e-02       4.704593e-03       1.590556e-02
       94000       7.651430e-04       1.992743e-04       4.163840e-04       7.235494e-02       5.045941e-03       1.555383e-02
       96000       7.560616e-04       1.418667e-04       4.023411e-04       8.124969e-02       4.477250e-03       1.541991e-02
       98000       1.347397e-03       1.650107e-04       7.327597e-04       6.095647e-02       4.335602e-03       1.539307e-02
      100000       5.258750e-04       1.190255e-04       3.328120e-04       4.463590e-02       5.828016e-03       1.576485e-02
      102000       8.623530e-04       1.116420e-04       5.036349e-04       7.375007e-02       4.788474e-03       1.568852e-02
      104000       6.026793e-04       7.996355e-05       3.250283e-04       6.383294e-02       4.045350e-03       1.555088e-02
      106000       9.654053e-04       1.229448e-04       4.571675e-04       7.129192e-02       4.002254e-03       1.516327e-02
      108000       8.568260e-04       1.880341e-04       4.624899e-04       7.422741e-02       3.460539e-03       1.509899e-02
      110000       8.139565e-04       1.200351e-04       4.514316e-04       6.505712e-02       4.419881e-03       1.580954e-02
      112000       5.250875e-04       1.222071e-04       2.912029e-04       6.071768e-02       3.595867e-03       1.521333e-02
      114000       7.034161e-04       2.124357e-04       3.688535e-04       6.407797e-02       4.636052e-03       1.504154e-02
      116000       9.340977e-04       1.748280e-04       4.232004e-04       5.722740e-02       5.459008e-03       1.529426e-02
      118000       8.772841e-04       1.966004e-04       5.300293e-04       8.041439e-02       2.793193e-03       1.666577e-02
      120000       6.376453e-04       2.052333e-04       3.914281e-04       6.714111e-02       4.163047e-03       1.584194e-02
      122000       9.525757e-04       1.713401e-04       5.302473e-04       6.660764e-02       3.632569e-03       1.566221e-02
      124000       9.985116e-04       9.102320e-05       4.810429e-04       5.712692e-02       4.644357e-03       1.546664e-02
      126000       6.593936e-04       1.677349e-04       3.782784e-04       7.070879e-02       3.591747e-03       1.548043e-02
      128000       8.486012e-04       8.574359e-05       4.724428e-04       4.662607e-02       3.779172e-03       1.445654e-02
      130000       7.540520e-04       1.182397e-04       3.357856e-04       9.686459e-02       4.702453e-03       1.684599e-02
      132000       5.740514e-04       1.776871e-04       3.051371e-04       6.812612e-02       3.371204e-03       1.612447e-02
      134000       8.996234e-04       2.313756e-04       5.279088e-04       5.353054e-02       2.518212e-03       1.495169e-02
      136000       9.902912e-04       6.477062e-05       5.025900e-04       5.483690e-02       4.835902e-03       1.459180e-02
      138000       1.331473e-03       6.799022e-05       7.161869e-04       5.200928e-02       4.165198e-03       1.439092e-02
      140000       9.229709e-04       1.865122e-04       5.612371e-04       7.190041e-02       3.352650e-03       1.493867e-02
      142000       1.314886e-03       2.553762e-04       6.370798e-04       7.116283e-02       3.996510e-03       1.527857e-02
      144000       9.111956e-04       1.169509e-04       5.360011e-04       6.048767e-02       4.967952e-03       1.456096e-02
      146000       1.034299e-03       2.411636e-04       6.087209e-04       1.169240e-01       4.759787e-03       1.519077e-02
      148000       9.698270e-04       7.691284e-05       5.190671e-04       1.024099e-01       3.637565e-03       1.502606e-02
      150000       5.751331e-04       6.121576e-05       2.743932e-04       1.140452e-01       4.911401e-03       1.575996e-02
      152000       1.230698e-03       1.076312e-04       5.809533e-04       7.371617e-02       4.978941e-03       1.527442e-02
      154000       8.950794e-04       2.130118e-04       4.630190e-04       1.469345e-01       4.404888e-03       1.652383e-02
      156000       8.214115e-04       2.522604e-04       4.599574e-04       5.918064e-02       4.078242e-03       1.511169e-02
      158000       9.810028e-04       2.054420e-04       5.005088e-04       6.958838e-02       5.102843e-03       1.590839e-02
      160000       1.021296e-03       1.063686e-04       4.161236e-04       1.042184e-01       4.504295e-03       1.621058e-02
      162000       9.635786e-04       1.659961e-04       5.416611e-04       5.856904e-02       4.587096e-03       1.566808e-02
      164000       8.058043e-04       1.598733e-04       3.869403e-04       5.079528e-02       4.158358e-03       1.507551e-02
      166000       7.431590e-04       1.281962e-04       4.561617e-04       4.942033e-02       3.859259e-03       1.539895e-02
      168000       7.160573e-04       1.877009e-04       3.848616e-04       5.221682e-02       5.098253e-03       1.607804e-02
      170000       1.108143e-03       1.760848e-04       5.684530e-04       4.966554e-02       4.260501e-03       1.497556e-02
      172000       8.033364e-04       1.324574e-04       4.165554e-04       7.604109e-02       3.930273e-03       1.585369e-02
      174000       1.140816e-03       1.469396e-04       6.046065e-04       5.482116e-02       3.891160e-03       1.549373e-02
      176000       1.018842e-03       9.840211e-05       5.885221e-04       5.275109e-02       4.613539e-03       1.553893e-02
      178000       8.932373e-04       1.604108e-04       4.029696e-04       5.486773e-02       4.461623e-03       1.511850e-02
      180000       9.710591e-04       9.168622e-05       5.525672e-04       6.422449e-02       5.620197e-03       1.569949e-02
      182000       9.369070e-04       1.848339e-04       4.421822e-04       6.231696e-02       4.607295e-03       1.595487e-02
      184000       9.029439e-04       6.234162e-05       4.522467e-04       5.628911e-02       3.946404e-03       1.487601e-02
      186000       8.247262e-04       1.460331e-04       3.918712e-04       7.332951e-02       3.690870e-03       1.497938e-02
      188000       5.721077e-04       7.573089e-05       3.690489e-04       9.016634e-02       4.173772e-03       1.541590e-02
      190000       1.038400e-03       1.620165e-04       5.265280e-04       5.055586e-02       3.846363e-03       1.540922e-02
      192000       6.664635e-04       1.155172e-04       3.977557e-04       4.640378e-02       4.411596e-03       1.531203e-02
      194000       1.194939e-03       1.753431e-04       6.570449e-04       7.008049e-02       3.325541e-03       1.587331e-02
      196000       1.146253e-03       1.951991e-04       5.016302e-04       6.243293e-02       3.266685e-03       1.546388e-02
      198000       1.048090e-03       9.928991e-05       5.012633e-04       9.619717e-02       3.069660e-03       1.591146e-02
      200000       7.043291e-04       1.252654e-04       3.857928e-04       5.872107e-02       5.234305e-03       1.516735e-02
      202000       8.436535e-04       2.213228e-04       4.845478e-04       1.557259e-01       4.551723e-03       1.497378e-02
      204000       1.119932e-03       1.981479e-04       6.298810e-04       6.801015e-02       3.952307e-03       1.515399e-02
      206000       8.960943e-04       2.063490e-04       5.424845e-04       7.848738e-02       4.511099e-03       1.622737e-02
      208000       8.971764e-04       1.686013e-04       4.677237e-04       5.848328e-02       4.900823e-03       1.590141e-02
      210000       8.418539e-04       1.894936e-04       4.733270e-04       4.451044e-02       5.471898e-03       1.531734e-02
      212000       8.705317e-04       1.213939e-04       5.106331e-04       4.715224e-02       3.995789e-03       1.490662e-02
      214000       7.474794e-04       1.572630e-04       4.008971e-04       4.964756e-02       3.309436e-03       1.601893e-02
      216000       1.014825e-03       1.076905e-04       5.857296e-04       5.196494e-02       3.826857e-03       1.634341e-02
      218000       6.891644e-04       2.802681e-04       5.306215e-04       9.426033e-02       4.967334e-03       1.683945e-02
      220000       4.576148e-04       9.673013e-05       3.248680e-04       5.837137e-02       3.508711e-03       1.670929e-02
      222000       9.759874e-04       2.455708e-04       5.371232e-04       5.422677e-02       4.126187e-03       1.536489e-02
      224000       1.160329e-03       1.195674e-04       5.623547e-04       5.663939e-02       4.864370e-03       1.567525e-02
      226000       1.292603e-03       1.678192e-04       5.506616e-04       5.643813e-02       2.752702e-03       1.476465e-02
      228000       6.957710e-04       1.359443e-04       3.998557e-04       6.328475e-02       4.564163e-03       1.566921e-02
      230000       5.372205e-04       1.958707e-04       3.406916e-04       4.986613e-02       5.084305e-03       1.607051e-02
      232000       8.284335e-04       2.242470e-04       4.529987e-04       7.207843e-02       4.491510e-03       1.560372e-02
