#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.160120e-01       3.154684e-17       4.464980e-02       2.949334e-02       1.508626e-02       2.161947e-02
           0       1.157413e-01       1.839054e-17       4.545932e-02       3.416057e-02       1.162555e-02       2.014895e-02
        2000       9.252494e-02       2.466845e-04       3.333472e-02       1.208099e-01       1.319207e-02       3.903079e-02
        4000       9.198451e-02       2.809820e-04       3.284555e-02       1.244962e-01       9.422843e-03       3.939058e-02
        6000       9.303002e-02       3.917574e-04       3.349433e-02       1.153595e-01       1.237269e-02       3.878102e-02
        8000       9.196689e-02       2.168062e-04       3.308493e-02       2.369489e-01       9.689109e-03       3.981710e-02
       10000       9.396591e-02       1.624081e-04       3.381182e-02       2.239477e-01       9.681509e-03       4.035408e-02
       12000       9.308160e-02       3.578861e-04       3.356805e-02       3.508560e-01       1.101895e-02       4.092482e-02
       14000       9.285023e-02       4.701311e-04       3.338360e-02       3.358836e-01       9.084012e-03       4.089172e-02
       16000       9.523974e-02       5.060200e-04       3.404652e-02       3.011173e-01       8.909658e-03       3.993161e-02
       18000       9.195198e-02       8.535290e-05       3.293908e-02       1.534474e-01       8.134558e-03       3.957490e-02
       20000       9.397981e-02       2.426923e-04       3.362951e-02       9.715139e-02       1.178935e-02       3.856510e-02
       22000       9.149840e-02       2.358591e-04       3.289346e-02       2.742802e-01       8.330546e-03       4.000703e-02
       24000       9.538082e-02       3.911135e-04       3.431994e-02       1.664227e-01       1.395532e-02       3.960474e-02
       26000       9.340075e-02       1.962653e-04       3.349534e-02       1.320749e-01       1.164608e-02       3.911033e-02
       28000       9.105994e-02       3.265592e-04       3.302574e-02       2.214276e-01       1.179141e-02       4.007201e-02
       30000       9.714022e-02       3.293017e-04       3.492246e-02       1.315998e-01       1.047952e-02       3.976935e-02
       32000       9.179027e-02       3.739435e-04       3.297531e-02       1.633242e-01       1.107839e-02       3.959516e-02
       34000       9.323419e-02       4.814586e-04       3.358193e-02       1.965529e-01       1.200480e-02       3.964277e-02
       36000       9.537251e-02       5.558107e-05       3.435310e-02       1.433389e-01       9.089903e-03       3.855336e-02
       38000       9.362184e-02       4.329349e-04       3.373716e-02       1.318744e-01       1.118480e-02       3.986347e-02
       40000       9.290115e-02       5.582302e-04       3.341611e-02       2.514680e-01       1.033600e-02       4.048257e-02
       42000       9.408760e-02       5.131127e-04       3.368679e-02       1.488424e-01       9.944155e-03       3.980757e-02
