#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.039084e-02       9.832417e-06       4.399244e-03       3.461588e-03       8.642999e-04       2.372234e-03
        2000       7.094710e-03       1.781599e-04       3.432131e-03       4.828128e-02       3.441321e-03       1.667221e-02
        4000       7.182186e-03       7.219745e-05       3.460380e-03       6.237674e-02       3.680530e-03       1.626754e-02
        6000       7.272283e-03       9.723084e-05       3.405906e-03       4.685874e-02       4.661070e-03       1.626861e-02
        8000       7.090263e-03       1.370716e-04       3.407008e-03       4.183473e-02       4.549634e-03       1.571972e-02
       10000       7.156681e-03       4.618450e-05       3.501442e-03       4.775647e-02       4.801417e-03       1.651436e-02
       12000       7.100954e-03       7.112456e-05       3.441969e-03       3.938766e-02       5.177436e-03       1.608340e-02
       14000       7.046330e-03       1.057637e-04       3.379063e-03       5.412970e-02       2.459975e-03       1.552920e-02
       16000       6.884120e-03       1.783391e-04       3.338057e-03       5.717082e-02       1.535650e-03       1.603670e-02
       18000       7.001865e-03       7.465998e-05       3.378305e-03       4.593231e-02       4.438196e-03       1.558623e-02
       20000       6.875068e-03       1.594659e-04       3.374949e-03       4.193308e-02       5.238121e-03       1.585514e-02
       22000       7.037051e-03       1.749586e-05       3.398033e-03       3.923142e-02       4.812069e-03       1.587543e-02
       24000       6.813449e-03       6.497928e-05       3.320001e-03       5.242639e-02       4.764887e-03       1.681542e-02
       26000       7.090872e-03       4.701704e-04       3.475717e-03       5.338053e-02       4.371628e-03       1.636380e-02
       28000       7.366306e-03       2.281956e-04       3.377835e-03       4.479556e-02       4.148004e-03       1.595981e-02
       30000       6.891951e-03       3.360028e-04       3.363771e-03       5.587673e-02       5.282453e-03       1.696705e-02
       32000       7.184759e-03       1.164908e-04       3.466284e-03       3.790841e-02       4.086185e-03       1.570900e-02
       34000       7.112662e-03       1.311581e-04       3.478903e-03       5.262078e-02       4.598815e-03       1.590943e-02
       36000       6.891807e-03       1.147746e-04       3.407485e-03       4.107912e-02       4.647699e-03       1.614926e-02
       38000       6.870504e-03       1.395029e-04       3.323906e-03       3.790196e-02       2.489134e-03       1.606686e-02
