#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.020980e-01       6.450099e-06       5.856472e-02       4.525048e-02       2.094238e-02       2.960149e-02
           0       1.049912e-01       2.220493e-06       6.019733e-02       2.652036e-02       8.058235e-03       1.811311e-02
        2000       1.017506e-01       2.455113e-04       5.850716e-02       1.507725e-01       1.290064e-02       5.127266e-02
        4000       1.025444e-01       5.717880e-04       5.885734e-02       1.751672e-01       1.573045e-02       5.013566e-02
        6000       1.015739e-01       4.366464e-04       5.816255e-02       1.074626e-01       1.561831e-02       4.845698e-02
        8000       1.014647e-01       3.986783e-04       5.838013e-02       1.839737e-01       8.521218e-03       5.033441e-02
       10000       1.015083e-01       3.119396e-04       5.846865e-02       1.366525e-01       1.172262e-02       5.101409e-02
       12000       1.000206e-01       3.143662e-04       5.711888e-02       1.463610e-01       1.624699e-02       5.324543e-02
       14000       1.003856e-01       6.796478e-04       5.778358e-02       2.054472e-01       1.517123e-02       5.055624e-02
       16000       1.015225e-01       3.082554e-04       5.833616e-02       1.395204e-01       1.234260e-02       5.037249e-02
       18000       1.016294e-01       6.745935e-04       5.852782e-02       1.801560e-01       1.201835e-02       5.131931e-02
       20000       1.015845e-01       5.752633e-04       5.830896e-02       1.600895e-01       1.167568e-02       4.904135e-02
       22000       1.015769e-01       4.958637e-04       5.816803e-02       1.653776e-01       1.536951e-02       5.042356e-02
       24000       1.008573e-01       5.725448e-04       5.790187e-02       1.331128e-01       1.493107e-02       4.952113e-02
       26000       1.018148e-01       2.707940e-04       5.851949e-02       1.532851e-01       1.645875e-02       5.059124e-02
       28000       1.008830e-01       6.616913e-04       5.810801e-02       1.855893e-01       1.438052e-02       5.030253e-02
       30000       1.014738e-01       1.250297e-03       5.802615e-02       1.552337e-01       1.572794e-02       5.047364e-02
       32000       1.009573e-01       7.997296e-04       5.810188e-02       1.290420e-01       1.188293e-02       4.883941e-02
       34000       1.007210e-01       2.989959e-04       5.780554e-02       1.380326e-01       1.513736e-02       4.997056e-02
       36000       9.916746e-02       1.030844e-03       5.685186e-02       1.357857e-01       1.576102e-02       5.075593e-02
       38000       1.018100e-01       3.260158e-04       5.831326e-02       1.376893e-01       1.284152e-02       5.075630e-02
       40000       1.004271e-01       2.663065e-04       5.764537e-02       1.507625e-01       1.566482e-02       5.051408e-02
       42000       1.014193e-01       4.733098e-04       5.824907e-02       1.325838e-01       1.314732e-02       5.111550e-02
       44000       1.017194e-01       5.703460e-04       5.833202e-02       1.530075e-01       1.385759e-02       4.997137e-02
       46000       1.019340e-01       2.754192e-04       5.867204e-02       1.578317e-01       1.271655e-02       4.893988e-02
       48000       1.015050e-01       6.851486e-04       5.827957e-02       1.928339e-01       1.734549e-02       5.174106e-02
       50000       1.013528e-01       4.036783e-04       5.828992e-02       1.473671e-01       1.446886e-02       4.954801e-02
       52000       1.011447e-01       2.684653e-04       5.835145e-02       1.353867e-01       1.083194e-02       4.867630e-02
       54000       1.010807e-01       6.761826e-04       5.804314e-02       1.417757e-01       1.394865e-02       5.114183e-02
       56000       1.012759e-01       4.801374e-04       5.789269e-02       1.368316e-01       1.820834e-02       5.232671e-02
       58000       1.003538e-01       2.954936e-04       5.786584e-02       1.516735e-01       1.771547e-02       4.973339e-02
       60000       1.012491e-01       5.477055e-04       5.823247e-02       1.701669e-01       1.445923e-02       5.114057e-02
       62000       1.005103e-01       3.131171e-04       5.757438e-02       1.817731e-01       1.441153e-02       5.263113e-02
       64000       1.027279e-01       3.441814e-04       5.862702e-02       1.210519e-01       1.278062e-02       4.862959e-02
       66000       1.008791e-01       4.564866e-04       5.795836e-02       1.517562e-01       1.425068e-02       5.058024e-02
       68000       1.009594e-01       7.099192e-04       5.805438e-02       1.278462e-01       1.371178e-02       5.197356e-02
       70000       1.015811e-01       7.175474e-04       5.856331e-02       1.525570e-01       1.255963e-02       5.093278e-02
       72000       1.014537e-01       3.616348e-04       5.820380e-02       1.398414e-01       1.030297e-02       5.231027e-02
       74000       1.001681e-01       5.203054e-04       5.763508e-02       1.118699e-01       1.359360e-02       4.799436e-02
       76000       1.019398e-01       9.407712e-04       5.808693e-02       1.330560e-01       1.257984e-02       5.056945e-02
       78000       1.022562e-01       4.733758e-04       5.856147e-02       1.788270e-01       1.408902e-02       5.091500e-02
       80000       1.011688e-01       5.402589e-04       5.829926e-02       1.233282e-01       1.632725e-02       5.188354e-02
       82000       1.013645e-01       6.601252e-04       5.828633e-02       1.446857e-01       1.210659e-02       4.777166e-02
       84000       1.010931e-01       2.887287e-04       5.804020e-02       1.573975e-01       1.574239e-02       5.186111e-02
       86000       1.016894e-01       4.494506e-04       5.818236e-02       1.618884e-01       1.686979e-02       5.027368e-02
       88000       1.004531e-01       2.206774e-04       5.767184e-02       1.478587e-01       1.538851e-02       4.940280e-02
       90000       1.014742e-01       6.244214e-04       5.803387e-02       1.447171e-01       1.551783e-02       4.991665e-02
       92000       1.012487e-01       2.389837e-04       5.788282e-02       1.404064e-01       1.707460e-02       5.148481e-02
       94000       1.003366e-01       4.444538e-04       5.784776e-02       1.427084e-01       1.528505e-02       5.046073e-02
       96000       9.915654e-02       4.118681e-04       5.704824e-02       1.386503e-01       1.718422e-02       5.141712e-02
       98000       9.954685e-02       1.841947e-04       5.710869e-02       1.624971e-01       1.936256e-02       5.211378e-02
      100000       1.028459e-01       5.640918e-04       5.882135e-02       1.804311e-01       1.003136e-02       5.199167e-02
      102000       1.005248e-01       1.237132e-04       5.778063e-02       1.330020e-01       1.535867e-02       4.978260e-02
      104000       1.019861e-01       7.416403e-04       5.836359e-02       1.778918e-01       1.784837e-02       5.181750e-02
      106000       9.981277e-02       6.025836e-04       5.733139e-02       1.741204e-01       1.469991e-02       4.957454e-02
      108000       1.003414e-01       6.866308e-04       5.774043e-02       1.782504e-01       1.364449e-02       5.087345e-02
      110000       1.015248e-01       6.370844e-04       5.844818e-02       1.299302e-01       1.699689e-02       5.350516e-02
      112000       1.010600e-01       4.607950e-04       5.826304e-02       1.158003e-01       1.777907e-02       4.921722e-02
      114000       1.003923e-01       4.179295e-04       5.764970e-02       1.669996e-01       1.523712e-02       4.987312e-02
      116000       1.001804e-01       5.302909e-04       5.751412e-02       1.341088e-01       1.515891e-02       5.253308e-02
      118000       1.020598e-01       7.504124e-04       5.819214e-02       1.240305e-01       1.545412e-02       5.009808e-02
      120000       1.017551e-01       5.214829e-04       5.844332e-02       2.019775e-01       1.085867e-02       5.100218e-02
      122000       1.015389e-01       5.387376e-04       5.852195e-02       1.373554e-01       1.325393e-02       5.049367e-02
      124000       1.010246e-01       6.226608e-04       5.808442e-02       1.429828e-01       1.130113e-02       4.829698e-02
      126000       1.011415e-01       3.411917e-04       5.805233e-02       1.692620e-01       1.525444e-02       4.863850e-02
      128000       1.003850e-01       2.696519e-04       5.781482e-02       1.396134e-01       1.527691e-02       5.071116e-02
      130000       1.005174e-01       7.421942e-04       5.748559e-02       1.475916e-01       1.575376e-02       5.003440e-02
      132000       1.018247e-01       8.294847e-04       5.805875e-02       1.567126e-01       1.390539e-02       5.083288e-02
      134000       1.004802e-01       6.691853e-04       5.778169e-02       1.476137e-01       1.821255e-02       5.017215e-02
      136000       1.006199e-01       1.072914e-04       5.790320e-02       1.458047e-01       1.433075e-02       5.084853e-02
      138000       1.016982e-01       5.153095e-04       5.846849e-02       1.299806e-01       1.488723e-02       5.122510e-02
      140000       1.014159e-01       3.974572e-04       5.823103e-02       2.009219e-01       1.871978e-02       5.147393e-02
      142000       1.022048e-01       3.126091e-04       5.874824e-02       1.727336e-01       1.170703e-02       4.997102e-02
      144000       1.009694e-01       5.319618e-04       5.821690e-02       1.679569e-01       1.431071e-02       5.096333e-02
      146000       1.021874e-01       1.630353e-04       5.878538e-02       1.502253e-01       1.572848e-02       4.993915e-02
      148000       1.018655e-01       4.011194e-04       5.842279e-02       1.724858e-01       1.621749e-02       4.873497e-02
      150000       1.007408e-01       1.154282e-04       5.804179e-02       1.437493e-01       1.481261e-02       5.158642e-02
      152000       1.022125e-01       7.184389e-04       5.856996e-02       1.450901e-01       1.620206e-02       5.001369e-02
      154000       1.004386e-01       1.063887e-03       5.756734e-02       1.594190e-01       1.249358e-02       5.010162e-02
      156000       1.030753e-01       4.287630e-04       5.899855e-02       1.316417e-01       1.386292e-02       4.764146e-02
      158000       1.005393e-01       4.949829e-04       5.780563e-02       1.432163e-01       1.674656e-02       5.028183e-02
      160000       1.008446e-01       5.532502e-04       5.792598e-02       1.521068e-01       1.426807e-02       5.017054e-02
      162000       1.017480e-01       3.907353e-04       5.839631e-02       1.558935e-01       1.408398e-02       5.121092e-02
      164000       1.023616e-01       2.865351e-04       5.872542e-02       1.293172e-01       1.266283e-02       4.975529e-02
      166000       1.007964e-01       6.012526e-04       5.769644e-02       1.497185e-01       1.414919e-02       5.347401e-02
      168000       1.017043e-01       5.466649e-04       5.853845e-02       1.455898e-01       1.507565e-02       5.130711e-02
      170000       1.026652e-01       4.456019e-04       5.906913e-02       1.355241e-01       1.508266e-02       5.103416e-02
      172000       1.013508e-01       4.282128e-04       5.801867e-02       1.966329e-01       1.503717e-02       5.126749e-02
      174000       1.015218e-01       4.820905e-04       5.827649e-02       1.488660e-01       1.618770e-02       5.218035e-02
      176000       1.020189e-01       2.496119e-04       5.841144e-02       1.346580e-01       1.254089e-02       4.911612e-02
      178000       1.012437e-01       6.345665e-04       5.798215e-02       1.539418e-01       1.539282e-02       5.010741e-02
      180000       1.022210e-01       6.673320e-04       5.860050e-02       1.732646e-01       1.143749e-02       5.001127e-02
      182000       1.029797e-01       6.521307e-04       5.894654e-02       1.103360e-01       1.274419e-02       4.709392e-02
      184000       1.022346e-01       4.597526e-04       5.827590e-02       1.633595e-01       1.287762e-02       5.038318e-02
      186000       1.034190e-01       7.345143e-04       5.907566e-02       1.574335e-01       1.419915e-02       5.103637e-02
      188000       1.009502e-01       2.626847e-04       5.806349e-02       1.300575e-01       7.237217e-03       5.180147e-02
      190000       1.021266e-01       7.330401e-04       5.877615e-02       1.576444e-01       1.540119e-02       5.105235e-02
