# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-6.42690 35.44965
-6.37992 91.33384
-6.35662 152.32392
-6.34118 208.23688
-6.32584 284.48705
-6.31074 401.41166
-6.29573 533.58918
-6.28137 782.70570
-6.28090 698.81468
-6.26705 1036.90652
-6.26670 975.89487
-6.26626 897.08816
-6.25284 1311.44455
-6.25249 1250.43290
-6.25205 1171.62619
-6.23932 1708.00588
-6.23897 1646.99423
-6.23863 1585.98258
-6.23817 1504.63372
-6.22585 2114.73582
-6.22551 2053.72417
-6.22516 1992.71252
-6.22468 1906.27935
-6.21280 2592.64601
-6.21245 2531.63436
-6.21210 2470.62271
-6.21176 2409.61106
-6.21131 2330.80435
-6.20002 3121.39924
-6.19968 3060.38759
-6.19933 2999.37595
-6.19899 2938.36430
-6.19864 2877.35265
-6.19817 2793.46163
-6.18719 3639.98387
-6.18685 3578.97222
-6.18650 3517.96057
-6.18616 3456.94892
-6.18581 3395.93728
-6.18550 3340.00993
-6.17448 4178.90571
-6.17413 4117.89406
-6.17379 4056.88241
-6.17344 3995.87077
-6.17298 3914.52190
-6.16177 4717.82755
-6.16142 4656.81590
-6.16107 4595.80425
-6.16073 4534.79261
-6.16026 4450.90159
-6.14859 5175.40053
-6.14825 5114.38888
-6.14790 5053.37723
-6.14743 4969.48622
-6.13496 5551.62464
-6.13416 5411.80628
-6.10698 6178.66004
-6.04066 5602.38139
-6.02346 5348.15180
-6.02312 5287.14015
-6.02277 5226.12851
-6.02243 5165.11686
-6.02208 5104.10521
-6.02163 5025.29850
-6.00505 4880.38145
-6.00471 4819.36980
-6.00436 4758.35816
-6.00402 4697.34651
-6.00367 4636.33486
-6.00318 4549.90169
-5.98658 4402.44249
-5.98624 4341.43084
-5.98589 4280.41920
-5.98555 4219.40755
-5.98520 4158.39590
-5.98486 4097.38425
-5.98440 4016.03539
-5.96766 3843.15467
-5.96731 3782.14302
-5.96697 3721.13137
-5.96662 3660.11973
-5.96627 3599.10808
-5.96593 3538.09643
-5.96548 3459.28972
-5.94873 3283.86685
-5.94838 3222.85520
-5.94804 3161.84355
-5.94769 3100.83190
-5.94735 3039.82025
-5.94700 2978.80861
-5.94669 2922.88126
-5.92992 2744.91624
-5.92957 2683.90459
-5.92922 2622.89294
-5.92888 2561.88130
-5.92853 2500.86965
-5.92822 2444.94230
-5.91145 2266.97728
-5.91110 2205.96563
-5.91076 2144.95398
-5.91041 2083.94234
-5.90994 2000.05132
-5.89310 1809.37554
-5.89275 1748.36389
-5.89241 1687.35224
-5.89192 1600.91907
-5.87520 1433.12266
-5.87486 1372.11101
-5.87437 1285.67784
-5.85720 1036.53256
-5.85674 955.18370
-5.84011 802.64020
-5.83979 746.71285
-5.82337 629.75948
-5.82302 568.74783
-5.80644 423.83078
-5.79009 319.58817
-5.77378 222.97201
-5.74967 141.60157
-5.71778 78.01901
-5.62299 41.07151
-5.57598 90.60032
-5.54482 154.12536
-5.51376 237.98761
-5.48277 332.01846
-5.46739 400.64219
-5.45206 476.89236
-5.43674 555.68469
-5.42146 639.56133
-5.40615 720.89581
-5.39086 804.77244
-5.38331 863.23474
-5.36795 934.40062
-5.35256 1000.48219
-5.32938 1081.80948
-5.27462 1154.63416
-5.23481 1084.26533
-5.21072 1005.43705
-5.19451 926.61595
-5.17834 855.42131
-5.16212 774.05807
-5.14590 692.69482
-5.12977 629.12664
-5.11358 552.84769
-5.09736 471.48445
-5.08119 400.28981
-5.06505 334.17947
-5.04096 255.35119
-5.00893 166.34710
-4.96909 90.04658
-4.89684 13.12224
-4.54318 3.67546
-4.15694 30.83638
-4.10215 99.42414
-4.06321 180.73705
-4.03221 274.76791
-4.00907 363.72165
-3.98596 457.75970
-3.97065 539.09418
-3.95538 625.51297
-3.94786 689.05958
-3.93244 750.05684
-3.91713 831.39132
-3.90180 907.64150
-3.88644 978.80738
-3.86329 1065.21897
-3.83232 1164.33413
-3.76886 1093.09634
-3.74474 1009.18375
-3.72866 953.24203
-3.71253 887.13169
-3.69633 810.85275
-3.68008 724.40520
-3.66383 637.95765
-3.64760 556.59440
-3.63138 475.23115
-3.61521 404.03652
-3.59907 337.92618
-3.57497 256.55574
-3.54294 167.55166
-3.50312 95.48806
-3.40514 52.01283
-3.34033 112.28712
-3.29876 195.29240
-3.28346 276.62688
-3.26836 393.55149
-3.25334 525.72901
-3.23879 739.25539
-3.23847 683.32805
-3.22435 973.11900
-3.22386 886.68583
-3.21025 1267.99424
-3.20991 1206.98260
-3.20942 1120.54943
-3.19633 1593.37532
-3.19598 1532.36367
-3.19564 1471.35202
-3.19519 1392.54531
-3.18889 1672.17484
-3.18304 2030.61108
-3.18269 1969.59943
-3.18235 1908.58778
-3.18200 1847.57614
-3.18166 1786.56449
-3.18131 1725.55284
-3.16975 2467.84684
-3.16940 2406.83519
-3.16906 2345.82355
