# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-6.41902 35.44245
-6.35657 142.15531
-6.34115 203.15257
-6.32579 274.31845
-6.31066 386.15875
-6.29564 518.33627
-6.28091 701.35683
-6.25229 1214.84277
-6.22493 1952.03809
-6.20158 3125.62656
-6.10577 6191.23257
-5.94698 3125.39426
-5.89376 1218.41139
-5.84008 797.55589
-5.82331 619.59087
-5.80647 428.91509
-5.79014 329.75678
-5.77383 233.14062
-5.58378 75.35460
-5.55254 126.16887
-5.52142 197.32037
-5.45131 515.45295
-5.38317 837.81322
-5.36789 924.23201
-5.35251 990.31358
-5.32936 1079.26733
-5.25088 1137.66491
-5.22691 1081.71599
-5.21084 1025.77426
-5.19470 959.66393
-5.16231 807.10604
-5.14608 725.74280
-5.12986 644.37955
-5.11364 563.01630
-5.06833 323.49768
-5.01072 140.96336
-4.93943 40.53336
-4.82607 3.93357
-4.52904 3.66256
-4.26030 3.41736
-4.13336 67.17015
-4.04922 194.83060
-4.00802 413.77112
-3.94766 653.46945
-3.93238 739.88824
-3.91711 826.30702
-3.90175 897.47289
-3.88636 963.55446
-3.86319 1047.42391
-3.81413 1143.52122
-3.75704 1052.22825
-3.72818 951.83696
-3.69636 815.93705
-3.68011 729.48950
-3.66385 643.04195
-3.64763 561.67871
-3.63146 490.48407
-3.61527 414.20512
-3.59913 348.09479
-3.57500 261.64005
-3.54300 177.72027
-3.50314 98.87760
-3.47141 63.25870
-3.35313 52.98222
-3.30644 159.70946
-3.28337 261.37397
-3.26824 373.21427
-3.23844 678.24375
-3.22389 891.77013
-3.20742 1407.56619
-3.15792 2657.52102
-3.11419 4929.37894
-3.06298 5878.23733
-2.88923 2666.39995
-2.83449 1720.15211
-2.81668 1359.15215
-2.79919 1054.07953
-2.76505 591.37910
-2.74836 428.66698
-2.73197 316.79791
-2.71569 225.26606
-2.61219 42.98501
-2.54165 113.25316
-2.50271 194.56607
-2.47158 265.71756
-2.45622 336.88343
-2.42790 438.54314
-2.41005 535.12814
-2.39479 624.08908
-2.37952 710.50786
-2.36420 789.30019
-2.34885 863.00822
-2.33348 931.63194
-2.31550 1004.49018
-2.25559 1095.52883
-2.19215 1028.10427
-2.16792 923.85446
-2.15180 860.28628
-2.13561 786.54949
-2.11945 715.35485
-2.10323 633.99160
-2.08704 560.25481
-2.07084 481.43372
-2.05461 400.07047
-2.03850 339.04444
-2.02241 280.56056
-2.00100 211.05590
-1.96642 135.60756
-1.91873 65.65523
-1.86333 24.50677
-1.51629 0.91370
-1.23341 0.65560
-1.09238 73.51962
-0.99466 301.53265
-0.92060 569.35910
-0.90524 640.52497
-0.87015 794.11977
-0.77306 960.71387
-0.68663 857.82094
-0.62907 684.41076
-0.58931 523.29832
-0.57314 452.10368
-0.54901 365.64894
-0.51694 269.01840
-0.48498 192.72508
-0.44521 129.98270
-0.36613 82.45728
-0.31126 136.63952
-0.28802 207.79820
-0.27267 281.50623
-0.25747 380.63577
