# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-6.45851 49.88394
-6.38795 116.76255
-6.37260 189.62319
-6.35724 260.78907
-6.34241 426.86195
-6.34199 351.86846
-6.32745 569.20808
-6.32702 491.67244
-6.31244 701.38560
-6.31202 627.66319
-6.30510 797.98018
-6.30476 736.96854
-6.29811 955.58642
-6.29771 884.40616
-6.29084 1062.34961
-6.29049 1001.33796
-6.28342 1144.96236
-6.27700 1402.98359
-6.27665 1341.97195
-6.27631 1280.96030
-6.27596 1219.94865
-6.26959 1485.59634
-6.26354 1809.71353
-6.26319 1748.70188
-6.26285 1687.69024
-6.26250 1626.67859
-6.26216 1565.66694
-6.25611 1889.78413
-6.25005 2211.35917
-6.24970 2150.34752
-6.24936 2089.33587
-6.24901 2028.32422
-6.24867 1967.31257
-6.24261 2290.15869
-6.23725 2735.02810
-6.23690 2674.01645
-6.23656 2613.00480
-6.23621 2551.99315
-6.23587 2490.98150
-6.23552 2429.96985
-6.23517 2368.95821
-6.22666 2814.33317
-6.22450 3268.86563
-6.22416 3207.85398
-6.22381 3146.84234
-6.22347 3085.83069
-6.22312 3024.81904
-6.22278 2963.80739
-6.22243 2902.79574
-6.21393 3350.20443
-6.21179 3807.78747
-6.21144 3746.77583
-6.21110 3685.76418
-6.21075 3624.75253
-6.21041 3563.74088
-6.21006 3502.72923
-6.20972 3441.71759
-6.20121 3888.10941
-6.19907 4346.70932
-6.19873 4285.69767
-6.19838 4224.68602
-6.19804 4163.67437
-6.19769 4102.66272
-6.19735 4041.65108
-6.19700 3980.63943
-6.18846 4420.93009
-6.18630 4875.46255
-6.18596 4814.45090
-6.18561 4753.43925
-6.18527 4692.42760
-6.18492 4631.41596
-6.18458 4570.40431
-6.18423 4509.39266
-6.17937 5043.23739
-6.17573 4957.81821
-6.17272 5261.85527
-6.17238 5200.84362
-6.17203 5139.83197
-6.17169 5078.82033
-6.16529 5340.65479
-6.15889 5602.48926
-6.15854 5541.47761
-6.15820 5480.46596
-6.15785 5419.45431
-6.13557 5660.08979
-6.10663 6117.64839
-6.06454 5643.07739
-6.06419 5582.06574
-6.06385 5521.05410
-6.06350 5460.04245
-6.06316 5399.03080
-6.05878 5321.49157
-6.04659 5256.65590
-6.04624 5195.64426
-6.04590 5134.63261
-6.04555 5073.62096
-6.04521 5012.60931
-6.04486 4951.59766
-6.04452 4890.58602
-6.04016 4816.86001
-6.02798 4753.29543
-6.02763 4692.28378
-6.02729 4631.27213
-6.02694 4570.26048
-6.02660 4509.24883
-6.02625 4448.23719
-6.02591 4387.22554
-6.01765 4321.12239
-6.00939 4255.01925
-6.00905 4194.00760
-6.00870 4132.99595
-6.00836 4071.98431
-6.00801 4010.97266
-6.00767 3949.96101
-6.00732 3888.94936
-6.00291 3805.05475
-5.99073 3741.49016
-5.99038 3680.47852
-5.99004 3619.46687
-5.98969 3558.45522
-5.98934 3497.44357
-5.98900 3436.43192
-5.98865 3375.42028
-5.98831 3314.40863
-5.98395 3240.68262
-5.97174 3172.03373
-5.97140 3111.02208
-5.97105 3050.01044
-5.97070 2988.99879
-5.97036 2927.98714
-5.97001 2866.97549
-5.96967 2805.96384
-5.96525 2722.06923
-5.95310 2663.58895
-5.95276 2602.57730
-5.95241 2541.56565
-5.95206 2480.55401
-5.95172 2419.54236
-5.95137 2358.53071
-5.95103 2297.51906
-5.94674 2235.23274
-5.93403 2078.87961
-5.93368 2017.86796
-5.93334 1956.85631
-5.93299 1895.84466
-5.93265 1834.83301
-5.93183 2155.14177
-5.92443 1775.50894
-5.91565 1616.19356
-5.91530 1555.18191
-5.91496 1494.17026
-5.91344 1690.76095
-5.91064 1426.79964
-5.89790 1265.36220
-5.89755 1204.35055
-5.89721 1143.33890
-5.89568 1338.23483
-5.88914 1110.28374
-5.88245 856.91113
-5.88093 1051.80705
-5.88058 990.79540
-5.88024 929.78375
-5.86327 716.22860
-5.86105 789.10123
-5.85893 646.31583
-5.84887 494.20201
-5.84667 568.76940
-5.83242 372.16433
-5.83021 446.73173
-5.81376 324.69405
-5.80549 255.20137
-5.79722 187.40346
-5.77319 118.74378
-5.71763 50.90272
-5.63884 55.06772
-5.58405 122.38441
-5.56071 177.01911
-5.53752 257.07532
-5.50651 348.56403
-5.49122 432.86435
-5.47589 509.11453
-5.46059 590.44901
-5.44528 671.78349
-5.42998 753.11797
-5.41466 831.06292
-5.39930 902.22879
-5.39171 954.75941
-5.36853 1037.35777
-5.30819 1118.10642
-5.25302 1052.92890
-5.22618 952.06624
-5.20993 866.46607
-5.19375 791.88190
-5.17754 713.90818
-5.16134 635.93447
-5.14516 563.04507
-5.12897 486.76612
-5.11278 412.18195
-5.09661 339.29254
-5.08051 279.96128
-5.04850 195.61781
-5.01652 114.24018
-4.96096 46.82281
-4.86615 6.06208
-4.77153 -1.65067
-4.67695 -1.73697
-4.58237 -1.82326
-4.48779 -1.90956
-4.39320 -1.99586
-4.29865 2.15477
-4.20421 27.48999
-4.13362 89.28430
-4.10244 148.99611
-4.07140 236.67158
-4.04039 326.88921
-4.02511 412.88431
-4.00975 484.05018
-3.99446 568.35051
-3.97923 661.97206
-3.96390 738.22223
-3.94857 814.47241
-3.93323 890.72259
-3.91477 970.69838
-3.88695 1067.78270
-3.82415 1112.97547
-3.79225 1048.20657
-3.76829 991.41026
-3.74422 915.97151
-3.73855 843.09170
-3.71183 763.83732
-3.69943 662.14045
-3.68979 583.74904
-3.66619 498.65060
-3.64676 407.45482
-3.63059 336.26018
-3.61445 270.14984
-3.58246 187.92483
-3.54417 106.03302
-3.46337 35.28784
-3.38465 51.73991
-3.34565 124.15529
-3.31496 271.57134
-3.31460 208.01754
-3.29994 403.74886
-3.29641 336.63317
-3.28457 473.64366
-3.27713 551.17210
-3.26655 631.49404
-3.26266 779.95140
-3.26232 718.93975
-3.25547 901.96750
-3.25127 856.20517
-3.24825 1018.89931
-3.24791 957.88766
-3.24082 1098.96990
-3.23441 1359.53329
-3.23407 1298.52164
-3.23372 1237.50999
-3.23338 1176.49835
-3.22745 1522.22383
-3.22384 1440.87209
-3.22081 1740.84171
-3.22046 1679.83006
-3.22012 1618.81841
-3.21977 1557.80676
-3.21382 1898.44794
-3.21023 1822.18050
-3.20755 2183.16177
-3.20720 2122.15013
-3.20686 2061.13848
-3.20651 2000.12683
-3.20617 1939.11518
-3.20059 2345.85231
-3.19485 2260.26173
-3.19469 2696.66210
-3.19434 2635.65045
-3.19400 2574.63880
-3.19365 2513.62715
-3.19331 2452.61550
-3.19296 2391.60386
-3.18410 2774.95031
-3.18195 3230.49963
-3.18160 3169.48798
-3.18126 3108.47634
-3.18091 3047.46469
-3.18057 2986.45304
-3.18022 2925.44139
-3.17987 2864.42974
-3.17475 3352.51574
-3.17043 3285.14511
-3.16915 3754.16856
-3.16880 3693.15691
-3.16846 3632.14527
-3.16811 3571.13362
-3.16776 3510.12197
-3.16742 3449.11032
-3.16707 3388.09867
-3.15852 3826.35561
-3.15669 4338.84914
-3.15634 4277.83749
-3.15600 4216.82584
-3.15565 4155.81420
-3.15531 4094.80255
-3.15496 4033.79090
-3.15462 3972.77925
-3.15427 3911.76760
-3.14950 4460.86524
-3.14516 4390.95247
-3.14354 4801.50642
-3.14320 4740.49477
-3.14285 4679.48313
-3.14251 4618.47148
-3.14216 4557.45983
-3.14182 4496.44818
-3.13609 4877.76379
-3.13037 5259.07940
-3.13002 5198.06775
-3.12968 5137.05610
-3.12933 5076.04445
-3.12899 5015.03281
-3.12864 4954.02116
-3.11976 5334.31703
-3.11659 5609.88199
-3.11625 5548.87034
-3.11590 5487.85870
-3.11556 5426.84705
-3.09636 5748.83379
-3.09331 5674.26160
-3.06428 6114.87252
-3.03064 5741.99479
-3.02235 5670.80734
-3.02201 5609.79570
-3.02166 5548.78405
-3.02132 5487.77240
-3.02097 5426.76075
-3.02063 5365.74910
-3.01628 5293.29418
-3.00412 5233.54282
-3.00377 5172.53117
-3.00343 5111.51952
-3.00308 5050.50787
-3.00274 4989.49622
-3.00239 4928.48458
-2.99799 4847.13212
-2.98585 4791.19399
-2.98551 4730.18234
-2.98516 4669.17069
-2.98482 4608.15904
-2.98447 4547.14739
-2.98413 4486.13575
-2.98378 4425.12410
-2.97945 4356.48240
-2.96678 4206.48464
-2.96643 4145.47299
-2.96609 4084.46135
-2.96574 4023.44970
-2.96540 3962.43805
-2.96505 3901.42640
-2.96457 4281.05204
-2.96039 3773.04413
-2.95681 3837.01803
-2.94765 3611.60669
-2.94731 3550.59504
-2.94696 3489.58340
-2.94662 3428.57175
-2.94627 3367.56010
-2.94544 3684.47932
-2.94158 3235.36460
-2.93801 3301.45696
-2.92884 3072.65608
-2.92849 3011.64444
-2.92815 2950.63279
-2.92780 2889.62114
-2.92746 2828.60949
-2.92662 3145.52871
-2.91928 2776.06449
-2.91893 2715.05285
-2.91014 2554.04269
-2.90980 2493.03105
-2.90945 2432.01940
-2.90911 2371.00775
-2.90796 2633.69439
-2.90089 2311.68368
-2.90054 2250.67203
-2.89179 2096.44095
-2.89144 2035.42930
-2.89110 1974.41765
-2.89075 1913.40601
-2.88957 2169.31358
-2.88252 1850.69240
-2.88225 1804.08628
-2.87404 1745.60959
-2.87369 1684.59794
-2.87335 1623.58630
-2.86868 1495.20402
-2.86510 1559.17792
-2.85595 1333.76658
-2.85373 1406.63921
-2.85127 1204.11324
-2.84769 1267.66344
-2.83851 1038.86257
-2.83630 1111.73520
-2.83420 972.76302
-2.82146 810.05451
-2.81925 884.62190
-2.81328 757.50951
-2.80230 674.45629
-2.80045 579.97177
-2.78826 515.13611
-2.78390 440.13903
-2.77424 359.20547
-2.75282 288.00603
-2.74716 216.82098
-2.71515 131.20643
-2.65960 64.21276
-2.57939 97.01791
-2.54201 175.53588
-2.51090 250.50060
-2.49551 316.58217
-2.47995 352.15792
-2.46456 418.23949
-2.44928 502.96350
-2.43085 589.04046
-2.41879 685.96968
-2.40347 763.91463
-2.38812 838.47004
-2.37281 918.10975
-2.35748 994.35993
-2.31386 1086.17608
-2.27412 1119.69605
-2.23163 1039.57991
-2.21016 960.33033
-2.19404 897.60953
-2.17790 829.80443
-2.15916 768.77600
-2.15090 702.67286
-2.13471 626.39391
-2.11851 550.11497
-2.10232 473.83603
-2.08610 394.16755
-2.06991 317.88861
-2.05379 255.16781
-2.02183 177.60341
-1.98987 101.31008
-1.91854 31.33618
-1.82377 -1.79809
-1.72917 -4.42654
-1.63459 -4.51284
-1.54001 -4.59914
-1.44543 -4.68543
-1.35085 -4.77173
-1.25632 4.46320
-1.16979 34.72044
-1.09925 104.31068
-1.06023 172.91283
-1.02919 259.31723
-0.99822 357.16132
-0.98271 401.63460
-0.96727 460.08971
-0.95196 538.88204
-0.93659 608.35314
-0.92121 676.12948
-0.90581 740.51628
-0.89041 804.90308
-0.87503 872.67942
-0.85966 942.15053
-0.81597 1020.74749
-0.76565 1043.32662
-0.73375 977.62559
-0.70178 899.63750
-0.68559 823.35856
-0.66946 758.94299
-0.65331 691.13789
-0.63712 614.85894
-0.62090 535.19046
-0.60471 458.91152
-0.58856 391.10642
-0.57244 328.38562
-0.54043 242.34738
-0.50844 159.69867
-0.45285 85.92593
-0.37399 79.49863
-0.34020 143.44496
-0.31943 187.48975
-0.30920 236.62844
-0.29646 306.94932
-0.28591 391.84713
-0.27416 543.34788
-0.27386 490.81008
-0.26650 584.01512
-0.25954 746.70566
-0.25910 667.89895
-0.25186 782.28860
-0.24487 939.89483
-0.24446 866.17242
-0.23757 1041.57372
-0.23722 980.56207
-0.23060 1204.26426
-0.22701 1126.97996
-0.22364 1366.95479
-0.22330 1305.94314
-0.22295 1244.93150
-0.21668 1529.64533
-0.21311 1455.41161
-0.20975 1697.42017
-0.20940 1636.40852
-0.20906 1575.39687
-0.20231 1776.21969
-0.19658 2154.99315
-0.19623 2093.98150
-0.19588 2032.96985
-0.19554 1971.95820
-0.19519 1910.94656
-0.19485 1849.93491
-0.18964 2322.76799
-0.18602 2239.38253
-0.18337 2607.48182
-0.18303 2546.47017
-0.18268 2485.45852
-0.18234 2424.44688
-0.18199 2363.43523
-0.17273 2677.63515
-0.17020 3065.05480
-0.16985 3004.04315
-0.16951 2943.03150
-0.16916 2882.01985
-0.16882 2821.00821
-0.16847 2759.99656
-0.16268 3129.44879
-0.15996 3205.37152
-0.15748 3603.97664
