# https://pubs.acs.org/doi/epdf/10.1021/acs.jpcb.0c01582
# x FES(kJ/mol)
2.56445 -2.03533
2.57008 -1.24313
2.57040 -0.55175
2.57997 -2.62588
2.58355 -6.25559
2.58920 -5.42978
2.58952 -4.73841
2.58984 -4.04703
2.59016 -3.35566
2.59875 -7.52311
2.59908 -6.83173
2.60199 -11.88740
2.60760 -11.15282
2.60792 -10.46144
2.60824 -9.77007
2.60856 -9.07870
2.60888 -8.38732
2.61743 -12.65079
2.62073 -16.87105
2.62635 -16.10766
2.62668 -15.41629
2.62700 -14.72491
2.62732 -14.03354
2.62764 -13.34217
2.63965 -21.48021
2.64527 -20.71682
2.64560 -20.02545
2.64592 -19.33407
2.64624 -18.64270
2.64661 -17.83610
2.65886 -25.47001
2.66446 -24.74983
2.66478 -24.05846
2.66510 -23.36708
2.66973 -22.46830
2.67846 -28.62441
2.68408 -27.86101
2.68440 -27.16964
2.69003 -26.39184
2.70348 -31.43311
2.70380 -30.74174
2.70412 -30.05036
2.70444 -29.35899
2.72340 -33.89133
2.72372 -33.19995
2.72409 -32.41256
2.73832 -35.76860
2.74401 -34.86117
2.75722 -36.65682
2.76393 -37.63359
2.79494 -38.56770
2.85118 -39.92548
2.88887 -39.00763
2.91527 -37.97811
2.93687 -36.83735
2.95848 -35.65049
2.98010 -34.45211
3.00172 -33.26525
3.02328 -32.18210
3.04491 -30.97219
3.06747 -30.00715
3.09639 -28.97873
3.11574 -28.12028
3.16037 -27.26182
3.26386 -26.67031
3.37149 -26.21324
3.43296 -25.38359
3.46926 -24.31196
3.50737 -23.88561
3.50768 -23.23265
3.53963 -22.45966
3.55046 -21.83070
3.57184 -21.13933
3.59756 -20.17524
3.63568 -19.73737
3.64872 -18.87316
3.66804 -18.08096
3.70848 -17.17929
3.74785 -16.30931
3.83763 -15.75237
3.92683 -16.42454
3.95287 -17.04870
3.99465 -17.79288
4.03108 -18.71472
4.05711 -19.35328
4.08624 -20.14067
4.11961 -20.83205
4.15080 -21.70587
4.20304 -22.61810
4.24477 -23.45351
4.28649 -24.33213
4.32823 -25.15313
4.36997 -25.98854
4.41169 -26.86716
4.45344 -27.67377
4.50358 -28.54086
4.54745 -29.33018
4.59138 -29.98123
4.67323 -30.61210
4.77822 -31.31788
4.90437 -31.78840
5.03090 -31.46192
5.12603 -30.72253
5.20009 -29.99275
5.28467 -29.28697
5.39029 -28.62921
5.51694 -28.04346
5.64356 -27.51533
5.74915 -26.92478
5.83371 -26.24781
5.90775 -25.55643
5.98181 -24.82185
6.07694 -24.08150
6.19302 -23.58794
6.31940 -23.57834
6.44562 -23.90482
6.57183 -24.26011
6.69804 -24.63460
6.82421 -25.07631
6.95043 -25.41240
7.07676 -25.49882
7.20314 -25.49882
7.32952 -25.49882
7.45589 -25.49882
7.58233 -25.36439
7.70878 -25.22035
7.83519 -25.13393
7.96165 -24.96108
8.08819 -24.61540
8.21475 -24.22170
8.34125 -23.94323
8.46764 -23.91442
8.59398 -24.00084
8.72036 -24.00084
8.84673 -24.00084
8.97306 -24.11607
9.09936 -24.26971
9.22571 -24.32733
9.35213 -24.23130
9.47846 -24.34653
9.60483 -24.34653
9.73131 -24.13528
9.85779 -23.91442
9.98415 -23.94323
10.11053 -23.93363
10.23698 -23.78959
10.36335 -23.79919
10.48969 -23.88561
10.61607 -23.86641
10.74247 -23.80880
10.86873 -24.05846
10.99498 -24.33693
11.12132 -24.41375
11.24773 -24.34653
11.37409 -24.38494
11.50040 -24.52898
11.62670 -24.68262
11.75308 -24.69222
11.87945 -24.70182
11.95312 -24.80745

