# https://www.science.org/doi/epdf/10.1126/sciadv.aao6283
# r FES(kcal/mol)
2.63611 -0.96119
2.64355 -1.25670
2.65548 -1.85646
2.65949 -1.60750
2.67075 -2.35753
2.67463 -2.13969
2.68966 -2.69755
2.70248 -3.09514
2.71849 -3.42815
2.73453 -3.75806
2.75072 -4.05062
2.76702 -4.32139
2.78634 -4.56728
2.81134 -4.84507
2.87129 -5.13225
2.96794 -5.02877
3.01267 -4.80104
3.05745 -4.56148
3.13691 -4.39199
3.22354 -4.57730
3.30993 -4.81706
3.41474 -4.84679
3.49456 -4.59329
3.54815 -4.33974
3.58432 -4.07060
3.61157 -3.84035
3.64756 -3.61167
3.68347 -3.40166
3.71944 -3.17765
3.75541 -2.95364
3.79146 -2.71095
3.82747 -2.47760
3.86348 -2.24425
3.89941 -2.02958
3.94409 -1.81492
4.01503 -1.59283
4.11205 -1.40594
4.19920 -1.47221
4.25933 -1.71894
4.31081 -1.94309
4.36215 -2.19836
4.41348 -2.45674
4.47357 -2.70969
4.55116 -2.96236
4.64829 -3.14737
4.75109 -3.23529
4.85799 -3.18691
4.96150 -3.11425
5.07115 -3.23766
5.16995 -3.43823
5.27433 -3.56599
5.37907 -3.61128
5.48417 -3.57410
5.58943 -3.50113
5.69495 -3.37059
5.78318 -3.19256
5.85416 -2.96160
5.91642 -2.72674
5.95207 -2.57431
