# https://pubs.acs.org/doi/epdf/10.1021/acs.jpcb.0c01582
# r FES(kJ/mol)
2.49417 -1.11174
2.50467 -3.66441
2.51517 -6.31749
2.52042 -9.12848
2.54667 -11.92452
2.56767 -14.86892
2.57817 -17.66063
2.60267 -20.64318
2.63130 -24.06804
2.64721 -27.54584
2.69496 -31.71837
2.77454 -35.71607
2.84487 -37.34238
2.91777 -37.79887
3.04017 -37.15314
3.14517 -38.18276
3.19767 -39.47207
3.26068 -40.78019
3.33418 -42.04021
3.46018 -42.64851
3.57268 -41.66176
3.63028 -40.07339
3.68908 -38.52269
3.73318 -36.96094
3.77518 -35.58283
3.81718 -34.20473
3.85918 -32.86965
3.91168 -31.37172
3.97118 -29.81144
4.06919 -28.24048
4.19519 -27.83523
4.32119 -28.45309
4.44719 -29.10920
4.57319 -29.59319
4.69919 -29.91464
4.82519 -30.31258
4.95120 -30.57665
5.07720 -30.31484
5.37120 -29.16847
5.49720 -28.49550
5.61270 -27.93757
5.74921 -27.32167
5.87521 -26.64869
6.00121 -25.81317
6.12721 -25.07327
6.25321 -24.48635
6.37921 -24.19585
6.50522 -24.49817
6.63122 -24.97260
6.75722 -25.45660
6.88322 -25.69199
7.00922 -25.82220
7.13522 -25.91417
7.26123 -25.94876
7.38723 -25.83993
7.51323 -25.74066
7.63923 -25.58402
7.76523 -25.44650
7.87548 -25.30944
8.12224 -24.73815
8.24824 -24.60063
8.37424 -24.53005
8.50024 -24.43078
8.62624 -24.48450
8.75224 -24.63383
8.87825 -24.75448
9.00425 -24.87513
9.13025 -24.84280
9.25625 -24.71484
9.38225 -24.75900
9.50825 -24.86053
9.63425 -24.69432
9.76026 -24.50900
9.88626 -24.65833
10.01226 -24.84592
10.13826 -24.61278
10.26426 -24.35097
10.39026 -24.26126
10.51627 -24.20980
10.64227 -24.08184
10.76827 -24.12600
10.89427 -24.34227
11.02027 -24.51072
11.14627 -24.56444
11.27227 -24.57035
11.39828 -24.69100
11.54377 -24.67928
11.71883 -24.32638
11.89178 -24.27511
