# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
1.52180 5.04444
1.56899 5.17288
1.59684 5.42715
1.61361 5.69453
1.63038 5.95142
1.64714 6.20306
1.65556 6.39966
1.66398 6.60019
1.67240 6.80072
1.68082 7.00519
1.68925 7.20965
1.69767 7.41018
1.70609 7.61465
1.71034 7.79683
1.72377 8.02436
1.74799 8.23459
1.77930 8.47182
1.79808 8.59371
1.82288 8.31323
1.84688 8.09356
1.86424 7.89382
1.88076 7.67362
1.88813 7.46759
1.90547 7.23586
1.92281 6.99890
1.94596 6.73467
1.96331 6.51762
1.97984 6.32889
1.99638 6.14408
2.01708 5.96400
2.04193 5.78155
2.08340 5.57709
2.12905 5.40356
2.17888 5.27774
2.22873 5.19648
2.27860 5.14929
2.32848 5.11784
2.37838 5.11784
2.42828 5.12570
2.47819 5.15453
2.52810 5.19385
2.57802 5.23842
2.62795 5.30919
2.67789 5.38521
2.72783 5.47171
2.77778 5.56870
2.82773 5.67880
2.87770 5.81773
2.92767 5.96190
2.97765 6.12442
3.02764 6.31316
3.07761 6.45209
3.12755 6.54646
3.17746 6.56481
3.22733 6.52286
3.27718 6.43112
3.32702 6.32364
3.37687 6.22666
3.42672 6.15588
3.47660 6.12442
3.52649 6.10607
3.57640 6.12704
3.62631 6.16899
3.67624 6.22928
3.72617 6.29219
3.77609 6.33413
3.82598 6.33937
3.87586 6.30267
3.92572 6.23452
3.97558 6.16112
4.02544 6.09559
4.07531 6.04316
4.12518 6.00122
4.17506 5.96714
4.22494 5.94617
4.27483 5.93569
4.32473 5.93045
4.37461 5.90423
4.42450 5.90423
4.47440 5.90423
4.52428 5.87540
4.57417 5.87278
4.62408 5.89899
4.67398 5.90423
4.72388 5.90423
4.77378 5.93045
4.82369 5.94355
4.87359 5.96714
4.92350 5.98811
4.97340 5.99860
5.02331 6.03006
5.07321 6.03006
5.12311 6.03268
5.17301 6.04578
5.22290 6.04578
5.27279 6.03268
5.32269 6.03006
5.37258 6.03006
5.42246 6.00384
5.47236 5.99860
5.52225 5.99860
5.57213 5.96714
5.62203 5.96714
5.67192 5.96714
5.72182 5.96714
5.77171 5.96714
5.82161 5.96714
5.87150 5.96452
5.92139 5.94093
5.97128 5.94355

