# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.49476 5.04968
2.52808 5.15716
2.55729 5.35900
2.57823 5.63424
2.59501 5.92520
2.61180 6.22666
2.62942 6.52077
2.63702 6.75354
2.65170 6.99732
2.66306 7.23796
2.67903 7.56091
2.69583 7.89644
2.72920 8.10090
2.77495 8.12187
2.79562 7.88595
2.81214 7.67362
2.82866 7.46916
2.84519 7.26470
2.86171 7.05630
2.87824 6.85577
2.89476 6.64738
2.91129 6.44685
2.92783 6.28170
2.94440 6.14802
2.97336 5.88064
3.01484 5.68404
3.06048 5.50317
3.11032 5.39570
3.16020 5.36686
3.21010 5.36948
3.26000 5.37735
3.30992 5.42715
3.35985 5.48482
3.40978 5.55035
3.45970 5.61064
3.50963 5.67093
3.55956 5.73123
3.60948 5.79152
3.65940 5.83084
3.70931 5.86753
3.75922 5.89375
3.80913 5.91210
3.85904 5.93569
3.90893 5.93831
3.95884 5.96190
4.00875 5.98811
4.05864 5.97501
4.10855 6.01433
4.15848 6.06675
4.20838 6.08510
4.25829 6.10870
4.30820 6.14277
4.35811 6.16899
4.40803 6.20568
4.45794 6.24238
4.50786 6.29219
4.55778 6.33413
4.60771 6.38918
4.65763 6.43898
4.70753 6.45995
4.75742 6.43636
4.80728 6.38131
4.85713 6.28957
4.90698 6.19258
4.95682 6.09559
5.01081 5.97501
5.05652 5.92258
5.10639 5.87278
5.15627 5.83870
5.20615 5.80986
5.25603 5.78889
5.30592 5.77841
5.35582 5.77841
5.40571 5.76530
5.45560 5.76268
5.50550 5.77317
5.55540 5.77841
5.60530 5.77841
5.65519 5.78103
5.70510 5.80724
5.75500 5.81511
5.80491 5.84132
5.85481 5.85181
5.90471 5.85705
5.95461 5.87016
5.98788 5.87278


