# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.87309 4.96056
2.96802 4.94942
3.05606 5.00059
3.11868 5.14822
3.16580 5.32609
3.21437 5.58293
3.26028 5.91210
3.28955 6.22194
3.31886 6.61985
3.34816 6.98422
3.37329 7.35120
3.40261 7.76013
3.45963 8.12484
3.47929 8.61019
3.54042 8.89206
3.61100 8.69856
3.65240 8.34206
3.68548 7.99998
3.71854 7.61465
3.75160 7.21751
3.78882 6.83218
3.83021 6.46729
3.87992 6.11319
3.95457 5.74409
4.04592 5.51008
4.13735 5.42239
4.22882 5.40094
4.32031 5.43811
4.41181 5.47815
4.50330 5.51961
4.55879 5.61676
4.63641 5.62685
4.72793 5.69834
4.81944 5.77698
4.91094 5.82845
4.99329 5.85831
5.10644 5.96714
5.19595 6.03755
5.28531 6.11870
5.37680 6.15302
5.46830 6.19591
5.55149 6.25454
5.64295 6.22880
5.73441 6.19162
5.82586 6.15159
5.91730 6.07724
5.99713 6.06308

