# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.7b11636
# Distance(A) rdf
1.31410 0.01334
1.37422 0.05869
1.39692 0.11409
1.42452 0.18951
1.43066 0.25860
1.44906 0.33333
1.45765 0.41821
1.46992 0.50789
1.48219 0.60096
1.49200 0.72956
1.49200 0.54764
1.49507 0.67138
1.49814 0.78032
1.50427 0.88185
1.50734 0.82156
1.51654 0.97492
1.51654 0.93120
1.51654 1.08492
1.52390 1.04260
1.52881 1.11875
1.53126 1.18644
1.54108 1.29925
1.54108 1.25412
1.54108 1.41489
1.54844 1.36327
1.55335 1.44026
1.55580 1.50626
1.56562 1.66871
1.56562 1.61230
1.56562 1.57563
1.57789 1.77869
1.57789 1.73215
1.58034 1.84807
1.59016 1.91829
1.59261 1.98514
1.60242 2.12559
1.60549 2.06001
1.61469 2.19045
1.61715 2.25588
1.62696 2.31806
1.62942 2.36587
1.63310 2.43863
1.63923 2.59093
1.64230 2.47775
1.64659 2.55454
1.65396 2.64507
1.66622 2.72713
1.68217 2.81723
1.73125 2.86054
1.76192 2.77977
1.76192 2.72900
1.77419 2.65848
1.78339 2.54107
1.78646 2.59642
1.79873 2.47018
1.79873 2.41025
1.79873 2.35948
1.81100 2.22902
1.81345 2.28444
1.82327 2.18176
1.82327 2.13099
1.82327 2.09362
1.83554 2.04919
1.83554 1.99842
1.84167 1.94235
1.84535 1.86979
1.85701 1.73609
1.86008 1.79955
1.87235 1.60351
1.87480 1.67176
1.88462 1.48222
1.88768 1.53933
1.89382 1.37115
1.89688 1.42579
1.90915 1.30979
1.92142 1.23468
1.92756 1.17544
1.93983 1.12677
1.95005 1.05202
1.95823 0.99560
1.97050 0.93424
1.98277 0.87712
1.98462 0.78568
2.00000 0.68486
2.00769 0.60528
2.02571 0.52380
2.05025 0.44974
2.07479 0.38837
2.09933 0.33757
2.13000 0.28466
2.17294 0.23173
2.22815 0.17794
2.29563 0.13993
2.37538 0.15606
2.43673 0.18618
2.47353 0.21660
2.55451 0.29182
2.60850 0.34972
2.64530 0.40186
2.67720 0.45669
2.71278 0.51602
2.74836 0.57931
2.77413 0.63407
2.79867 0.68798
2.81707 0.73803
2.84652 0.79751
2.86615 0.85220
2.89682 0.91563
2.92136 0.99388
2.94590 1.06648
2.96921 1.14430
2.97657 1.19337
2.99231 1.26206
3.02565 1.31495
3.05632 1.39001
3.10540 1.44919
3.17901 1.48296
3.23913 1.42409
3.28821 1.36480
3.32011 1.31146
3.37532 1.25958
3.42439 1.20981
3.49187 1.21059
3.57776 1.26888
3.63910 1.31620
3.70658 1.37099
3.78020 1.36245
3.83234 1.31621
3.86240 1.27027
3.89676 1.21989
3.92866 1.16190
3.96833 1.10911
4.01638 1.06005
4.07466 0.99688
4.13396 0.96509
4.19735 0.92201
4.27097 0.89796
4.34458 0.88801
4.41819 0.87947
4.49181 0.88785
4.56542 0.90470
4.63904 0.92648
4.70652 0.94192
4.76923 0.97370
4.83535 1.00877
4.89669 1.02739
4.98258 1.07771
5.05619 1.10514
5.12981 1.11775
5.20342 1.11908
5.27704 1.10420
5.35065 1.07732
5.42427 1.05186
5.49788 1.02781
5.55923 1.01505
5.63077 0.99401
5.71538 0.97270
5.83077 0.94605
5.92308 0.93004
6.01538 0.91403
6.09907 0.90448
6.17268 0.90370
6.24630 0.90221
6.31991 0.90424
6.39353 0.90558
6.46714 0.91325
6.54076 0.92164
6.61437 0.93002
6.68799 0.93770
6.76160 0.94820
6.83644 0.96166
6.93337 0.97340

