# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.7b11636
# Distance(A) rdf
2.35385 0.00000
2.40769 0.03191
2.43182 0.08464
2.44286 0.15317
2.45513 0.22720
2.46740 0.29064
2.47353 0.41544
2.47660 0.36467
2.48826 0.46027
2.49807 0.53388
2.50421 0.60791
2.51034 0.66925
2.51034 0.78771
2.51280 0.72509
2.52261 0.88923
2.52568 0.82154
2.53488 0.99358
2.53488 0.94986
2.53733 1.06014
2.54715 1.24882
2.54715 1.18818
2.54715 1.13741
2.55942 1.35542
2.55942 1.30945
2.56187 1.42057
2.57169 1.53508
2.57169 1.49136
2.57414 1.60333
2.58396 1.72968
2.58396 1.67891
2.58641 1.79742
2.59623 1.96377
2.59623 1.90736
2.59623 1.87280
2.60236 2.02722
2.60850 2.07234
2.61095 2.13298
2.61463 2.20913
2.62322 2.27258
2.62690 2.39527
2.62690 2.34450
2.63917 2.44814
2.64121 2.50807
2.64615 2.55686
2.65144 2.60678
2.66923 2.65763
2.69231 2.70004
2.72505 2.66487
2.73119 2.61516
2.74652 2.55697
2.75573 2.48821
2.75573 2.43744
2.76493 2.30945
2.76799 2.36973
2.78026 2.17088
2.78272 2.23772
2.78947 2.05487
2.79253 2.11304
2.80071 1.99175
2.80480 1.93252
2.80480 1.88316
2.81462 1.79938
2.82525 1.72378
2.82627 1.65997
2.83752 1.59120
2.83854 1.52457
2.85081 1.39023
2.85388 1.45580
2.86615 1.32605
2.86615 1.27669
2.87535 1.21145
2.89069 1.14480
2.89069 1.09827
2.90295 1.05524
2.90769 0.98629
2.92136 0.91420
2.93077 0.84303
2.94958 0.76271
2.96123 0.68464
2.97657 0.63068
2.98884 0.57143
3.01828 0.51725
3.04405 0.46349
3.07998 0.40755
3.15447 0.38863
3.22809 0.39702
3.28943 0.44525
3.34219 0.49237
3.38759 0.54563
3.43789 0.60142
3.48574 0.64495
3.52255 0.71577
3.56549 0.75909
3.60843 0.80558
3.67100 0.84656
3.73112 0.88936
3.80474 0.93441
3.86608 0.97031
3.93970 1.01606
3.99491 1.03152
4.06239 1.08856
4.12987 1.13545
4.19122 1.18362
4.25256 1.24024
4.32004 1.28643
4.39366 1.33148
4.43046 1.39173
4.49181 1.42445
4.56455 1.48300
4.63904 1.53006
4.71265 1.53986
4.75069 1.48002
4.78504 1.42498
4.81081 1.36911
4.83535 1.32043
4.85375 1.27176
4.88320 1.21842
4.90896 1.15853
4.94454 1.09989
4.97644 1.05163
5.00711 0.96804
5.04699 0.91617
5.08686 0.86959
5.13185 0.81102
5.20342 0.78062
5.27704 0.76362
5.35065 0.76777
5.42427 0.76205
5.49788 0.76621
5.57150 0.78869
5.64511 0.80836
5.70000 0.84009
5.76780 0.87592
5.84142 0.89770
5.90890 0.92266
5.98865 0.95677
6.06226 0.98279
6.13588 1.01021
6.20949 1.03975
6.28311 1.05447
6.35672 1.06709
6.43034 1.08041
6.50395 1.09091
6.57757 1.08378
6.65118 1.07242
6.71253 1.06988
6.79231 1.05113
6.87692 1.02982
6.96923 1.00850
