# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.7b11636
# Distance(A) rdf
2.09927 0.03239
2.17792 0.11292
2.20354 0.18626
2.22897 0.27487
2.23688 0.34818
2.25623 0.45003
2.27746 0.63536
2.27840 0.56205
2.29412 0.71632
2.30088 0.87975
2.30182 0.80644
2.31768 0.95002
2.31944 1.04268
2.33280 1.15164
2.34032 1.25550
2.34795 1.35020
2.34967 1.44591
2.36197 1.63735
2.36610 1.54572
2.36988 1.71066
2.37959 1.87358
2.38105 1.75955
2.39188 2.06502
2.39601 1.97339
2.40794 2.19333
2.40869 2.13529
2.40971 2.28496
2.42313 2.38883
2.42485 2.48454
2.43989 2.69227
2.44133 2.58027
2.45629 2.79411
2.46978 2.89289
2.47747 2.98301
2.49368 3.09961
2.53629 3.22896
2.59972 3.11602
2.60686 3.02032
2.62857 2.93889
2.62951 2.86559
2.64855 2.76175
2.66483 2.64366
2.67732 2.59073
2.68711 2.51744
2.68806 2.44413
2.70679 2.36473
2.70773 2.29143
2.72469 2.12039
2.72654 2.20592
2.74621 2.05322
2.74716 1.97991
2.76419 1.80277
2.76604 1.88830
2.78587 1.72337
2.78678 1.65312
2.80283 1.55234
2.82272 1.38335
2.82459 1.46684
2.84482 1.27137
2.86700 1.15329
2.88612 1.04335
2.91128 0.92324
2.93029 0.82144
2.94908 0.73797
2.97675 0.65146
3.00450 0.55986
3.04108 0.46928
3.12196 0.37672
3.22828 0.37176
3.30708 0.44109
3.35929 0.51242
3.41128 0.60005
3.46328 0.68767
3.51534 0.77122
3.56744 0.85070
3.61949 0.93426
3.66280 1.00965
3.70602 1.09116
3.75797 1.18285
3.80128 1.25723
3.84460 1.33161
3.90559 1.40856
3.99325 1.47739
4.09970 1.46224
4.18049 1.37681
4.24337 1.30663
4.31517 1.23188
4.40475 1.15104
4.51169 1.09822
4.61808 1.08715
4.72468 1.06080
4.83136 1.02733
4.93811 0.98876
5.04478 0.95631
5.15156 0.91570
5.25798 0.90259
5.36443 0.88745
5.47058 0.89572
5.57657 0.91621
5.68241 0.94790
5.78824 0.98060
5.89420 1.00415
6.00003 1.03685
6.10608 1.05225
6.21215 1.06663
6.31858 1.05352
6.42512 1.03125
6.53168 1.00694
6.63837 0.97346
6.74496 0.94712
6.85147 0.92688
6.94006 0.92342

