# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.7b11636
# Distance(A) rdf
2.89629 0.02315
2.98603 0.06805
3.04506 0.15976
3.07930 0.25144
3.10480 0.33394
3.12986 0.45106
3.13774 0.52641
3.16293 0.63335
3.17065 0.72194
3.18741 0.79527
3.18932 0.87673
3.20574 0.97653
3.21036 1.07632
3.22712 1.14964
3.23394 1.30849
3.23488 1.23518
3.24185 1.38181
3.25292 1.43884
3.26637 1.54067
3.27334 1.68730
3.27402 1.63435
3.28409 1.76876
3.30052 1.86857
3.30435 2.02944
3.30509 1.97242
3.31521 2.10276
3.32871 2.20052
3.33067 2.27791
3.34426 2.36854
3.34618 2.44898
3.35965 2.54878
3.36731 2.64195
3.37500 2.73207
3.38248 2.83899
3.39281 2.95405
3.41493 3.06964
3.43130 3.17402
3.47630 3.25512
3.49162 3.30340
3.53773 3.15990
3.54612 3.19656
3.56247 3.07236
3.58126 2.98889
3.60109 2.82397
3.60302 2.90339
3.62324 2.70793
3.63957 2.58576
3.65940 2.42084
3.66125 2.50637
3.68132 2.32312
3.68226 2.24982
3.70423 2.14802
3.71139 2.05029
3.72145 1.95663
3.74026 1.87112
3.74120 1.79781
3.76025 1.69398
3.77655 1.57386
3.79818 1.49854
3.79912 1.42523
3.81777 1.35194
3.83727 1.21298
3.85931 1.10559
3.88433 0.99617
3.91229 0.88777
3.94009 0.79158
3.97684 0.68777
4.03994 0.60079
4.12936 0.53268
4.22667 0.53992
4.32322 0.60622
4.40232 0.65213
4.45453 0.72346
4.51556 0.79684
4.59437 0.86536
4.68191 0.94366
4.77311 1.01219
4.88429 1.04266
4.99023 1.06722
5.09565 1.13149
5.20159 1.15605
5.30753 1.18062
5.41355 1.19907
5.51988 1.19309
5.62674 1.14536
5.73351 1.10577
5.84036 1.05906
5.92972 0.99553
6.01906 0.93404
6.12603 0.87817
6.23264 0.85080
6.33922 0.82547
6.44509 0.85513
6.55086 0.89292
6.65681 0.91647
6.76099 0.94001
6.86847 0.98188
6.93914 0.99520

