# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
1.38304 10.03806
1.43298 10.13505
1.47882 10.32064
1.50053 10.49679
1.52475 10.69601
1.54899 10.93088
1.56656 11.14163
1.58329 11.33037
1.60002 11.51910
1.61675 11.70784
1.63348 11.89657
1.65105 12.08216
1.67527 12.28977
1.71696 12.50210
1.76684 12.47589
1.80834 12.31336
1.84150 12.12856
1.86218 11.90968
1.88370 11.71728
1.91068 11.51012
1.93670 11.29891
1.96156 11.11804
1.99306 10.92773
2.03620 10.72956
2.08184 10.55446
2.13166 10.40766
2.18151 10.30805
2.23137 10.23990
2.28124 10.20320
2.33113 10.18223
2.38102 10.18223
2.43093 10.20320
2.48084 10.23204
2.53076 10.27660
2.58068 10.32902
2.63061 10.39980
2.68055 10.47582
2.73049 10.56756
2.78044 10.66193
2.83039 10.77989
2.88035 10.90309
2.93031 11.02105
2.98027 11.14426
3.03022 11.25435
3.08016 11.33561
3.13008 11.37755
3.17998 11.39066
3.22986 11.35658
3.27972 11.29367
3.32959 11.23338
3.37946 11.18882
3.42933 11.14950
3.47922 11.12591
3.52911 11.12591
3.57902 11.15736
3.62893 11.17833
3.67884 11.20192
3.72874 11.22027
3.77864 11.22027
3.82852 11.18882
3.87839 11.14688
3.92828 11.12853
3.97815 11.08921
4.02802 11.03940
4.07789 10.98435
4.12777 10.95290
4.17765 10.92931
4.22753 10.90571
4.27743 10.90571
4.32732 10.90571
4.37721 10.89261
4.42710 10.87426
4.47699 10.87426
4.52689 10.87426
4.57680 10.89523
4.62670 10.90571
4.67659 10.90571
4.72649 10.90571
4.77639 10.90834
4.82629 10.92669
4.87620 10.94766
4.92610 10.97125
4.97601 10.99222
5.02591 11.00008
5.07582 11.02630
5.12572 11.03154
5.17561 11.03154
5.22552 11.04464
5.27541 11.04727
5.32530 11.03154
5.37518 11.00008
5.42507 11.00008
5.47496 10.98173
5.52485 10.97125
5.57474 10.96863
5.62464 10.96863
5.67454 10.96863
5.72443 10.96076
5.77431 10.93717
5.82421 10.93717
5.87411 10.94503
5.92400 10.93979
5.96974 10.94661

