# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.41421 10.03281
2.45999 10.10988
2.50170 10.36310
2.52259 10.55184
2.53931 10.73664
2.55604 10.92537
2.57278 11.12984
2.58952 11.33823
2.60627 11.55056
2.62299 11.73536
2.64056 11.93432
2.66481 12.17968
2.70649 12.37103
2.75221 12.35268
2.78954 12.16395
2.81647 11.97915
2.83508 11.78386
2.85991 11.56367
2.88476 11.38070
2.92623 11.17309
2.97183 10.90309
3.02162 10.69863
3.07144 10.55970
3.12130 10.49941
3.17120 10.49155
3.22108 10.46795
3.27099 10.49679
3.32091 10.53873
3.37083 10.59640
3.42075 10.64358
3.47066 10.67242
3.52059 10.72484
3.57051 10.78513
3.62042 10.81135
3.67033 10.84280
3.72025 10.87688
3.77016 10.90571
3.82007 10.93455
3.86997 10.93717
3.91986 10.93717
3.96976 10.93979
4.01966 10.94766
4.05292 10.93717
4.11949 11.03678
4.16940 11.04727
4.21931 11.08134
4.26922 11.10756
4.31913 11.13901
4.36904 11.16523
4.41894 11.18357
4.46885 11.20717
4.51876 11.23862
4.56868 11.27532
4.61858 11.29105
4.66849 11.30678
4.71838 11.30940
4.76827 11.28319
4.81814 11.24649
4.86801 11.19930
4.91787 11.12853
4.96774 11.07872
5.02007 10.95919
5.06744 10.90834
5.11732 10.86902
5.16720 10.84280
5.21709 10.82445
5.26697 10.81135
5.31687 10.80610
5.36675 10.77989
5.41664 10.77989
5.46654 10.78776
5.51645 10.81135
5.56635 10.81135
5.61625 10.83494
5.66616 10.84542
5.71606 10.85591
5.76595 10.85853
5.81586 10.87426
5.86575 10.87426
5.89486 10.87426

