# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.85909 9.99635
2.95058 10.02567
3.04211 10.13047
3.13376 10.45659
3.19631 10.80348
3.24223 11.15631
3.28402 11.55685
3.32579 11.92174
3.37170 12.26356
3.42178 12.60957
3.49112 12.93729
3.55647 13.08491
3.62978 12.80290
3.69194 12.41335
3.74997 12.06284
3.80383 11.68425
3.86186 11.34216
3.94897 10.94032
4.04029 10.65311
4.14000 10.48535
4.23144 10.43245
4.32294 10.47677
4.41442 10.47963
4.50593 10.53948
4.59745 10.64263
4.68897 10.72413
4.78048 10.78704
4.85536 10.86078
4.93990 10.95850
5.01832 11.04743
5.07319 11.07708
5.13824 11.11733
5.22973 11.14306
5.32120 11.14735
5.41270 11.18596
5.50415 11.14306
5.59563 11.14735
5.68712 11.18310
5.77857 11.13734
5.87001 11.06442
5.92820 11.03154

