# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
1.38612 0.02461
1.42775 0.12422
1.46112 0.32475
1.47869 0.52843
1.49547 0.81782
1.50308 1.05610
1.51984 1.29202
1.52826 1.48862
1.53668 1.69701
1.54511 1.91720
1.55355 2.14526
1.56198 2.37331
1.57041 2.59743
1.57884 2.80976
1.58811 3.04804
1.59572 3.28946
1.61250 3.56339
1.63013 3.87533
1.63773 4.11125
1.66220 4.33369
1.70852 4.30313
1.72921 4.10732
1.74574 3.91072
1.76226 3.70625
1.77878 3.49786
1.79530 3.26980
1.81180 3.03389
1.82417 2.83204
1.84070 2.63282
1.86053 2.38118
1.87786 2.13346
1.89023 1.94079
1.91092 1.73633
1.93574 1.50041
1.96889 1.28022
2.01451 1.06318
2.06015 0.87129
2.10997 0.72974
2.15983 0.64586
2.20971 0.61965
2.25960 0.62227
2.30951 0.64324
2.35941 0.65635
2.40932 0.68518
2.45924 0.72712
2.50916 0.76644
2.55907 0.79790
2.60899 0.85295
2.65891 0.89489
2.70883 0.94731
2.75875 0.99712
2.80868 1.06003
2.85862 1.13605
2.90856 1.21469
2.95849 1.28808
3.00842 1.36410
3.05835 1.41391
3.10825 1.43750
3.15815 1.43750
3.20804 1.43750
3.25793 1.40867
3.30781 1.38245
3.35769 1.35886
3.40757 1.33265
3.45746 1.31168
3.50735 1.31168
3.55725 1.31168
3.60714 1.30906
3.65702 1.28546
3.70692 1.28022
3.75681 1.27236
3.80669 1.24614
3.85657 1.20682
3.90643 1.15178
3.95630 1.09935
4.00617 1.04954
4.05605 1.02071
4.10593 0.98401
4.15581 0.96304
4.20569 0.93945
4.25559 0.93421
4.30547 0.90799
4.35535 0.88702
4.40524 0.87129
4.45514 0.87129
4.50502 0.85557
4.55492 0.86081
4.60482 0.87129
4.65472 0.86867
4.70461 0.87129
4.75451 0.88178
4.80442 0.90275
4.85432 0.90799
4.90423 0.93421
4.95413 0.93945
5.00403 0.95518
5.05393 0.96566
5.10384 0.99450
5.15374 0.99712
5.20364 1.00498
5.25354 1.01022
5.30343 1.01285
5.35333 1.02071
5.40323 1.02595
5.45312 1.01285
5.50301 1.01022
5.55290 0.99712
5.60280 0.99712
5.65269 0.99712
5.70259 0.99712
5.75249 0.99712
5.80238 0.99450
5.85226 0.97090
5.90216 0.97353
5.95205 0.96566
5.98532 0.98139

