# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.29255 0.02199
2.34247 0.06393
2.38413 0.20679
2.41749 0.39946
2.43836 0.56198
2.45097 0.81231
2.46770 1.00760
2.48448 1.27760
2.50125 1.55546
2.51250 1.85429
2.51816 2.08235
2.53492 2.32875
2.54339 2.61316
2.55181 2.81763
2.56857 3.06010
2.58535 3.34320
2.60212 3.61320
2.62305 3.88791
2.67062 3.98767
2.70116 3.76209
2.71852 3.56470
2.73506 3.39170
2.75158 3.17544
2.75980 2.99063
2.77880 2.75865
2.79365 2.53216
2.81680 2.27423
2.83414 2.02730
2.85065 1.80711
2.86801 1.61051
2.89499 1.40604
2.91826 1.21731
2.95004 1.04037
2.99152 0.84770
3.04135 0.70877
3.09119 0.61440
3.14105 0.54887
3.19094 0.52528
3.24082 0.51217
3.29071 0.49382
3.34061 0.49382
3.39052 0.52004
3.44042 0.53052
3.49033 0.55674
3.54024 0.58557
3.59015 0.61440
3.64006 0.64062
3.68997 0.66945
3.73987 0.69042
3.78978 0.72188
3.83971 0.77168
3.88962 0.81100
3.93953 0.83722
3.98945 0.88964
4.03937 0.92372
4.07680 0.93421
4.13922 1.04692
4.18913 1.06789
4.23905 1.11246
4.28896 1.14391
4.33888 1.18585
4.38879 1.21469
4.43869 1.23304
4.48860 1.25139
4.53851 1.28022
4.58840 1.28022
4.63830 1.28808
4.68821 1.30381
4.73809 1.28022
4.78797 1.24352
4.83784 1.20158
4.88771 1.14391
4.93757 1.08886
4.98745 1.04954
5.03317 1.02857
5.12875 0.91848
5.17864 0.90537
5.22852 0.88440
5.27841 0.87129
5.32830 0.84770
5.37818 0.83460
5.42807 0.80838
5.47796 0.80838
5.52786 0.80838
5.57775 0.80838
5.62765 0.80838
5.67754 0.80838
5.72744 0.81625
5.77735 0.83984
5.82725 0.84770
5.87716 0.87129
5.92706 0.87392
5.97280 0.88388

