# https://pubs.acs.org/doi/full/10.1021/acs.jpcb.0c01582
# Distance(A) rdf
2.34658 -0.03521
2.43806 -0.01233
2.52424 0.07321
2.61457 0.28656
2.70446 0.53243
2.78779 0.86256
2.85452 1.25101
2.93375 1.69701
3.01224 2.04215
3.10455 2.30540
3.19608 2.40691
3.28752 2.34829
3.37891 2.18958
3.47306 1.99255
3.55145 1.71944
3.57270 1.71536
3.65302 1.57905
3.74445 1.49469
3.83586 1.37316
3.92803 1.09778
4.01320 0.76406
4.10151 0.49382
4.19292 0.36943
4.28438 0.33654
4.37586 0.35084
4.46809 0.34763
4.55887 0.45236
4.65038 0.52671
4.74190 0.61107
4.83342 0.69972
4.92495 0.79837
5.01645 0.85414
5.12188 1.04168
5.19953 1.09863
5.29104 1.16155
5.38257 1.26306
5.47405 1.28079
5.56553 1.28594
5.65699 1.25162
5.74843 1.20015
5.83988 1.14439
5.93132 1.07147
6.00258 1.04430

