#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.71e+01    2.71e+01      7.48e-01    7.33e-01      8.53e-01    8.51e-01    2.0e-03
    100      2.74e+01    2.88e+01      1.77e-01    1.77e-01      8.68e-01    9.09e-01    2.0e-03
    200      2.23e+01    2.11e+01      5.64e-02    8.26e-02      7.04e-01    6.66e-01    2.0e-03
    300      1.16e+01    2.06e+01      3.63e-01    1.10e+00      3.65e-01    6.46e-01    2.0e-03
    400      7.89e+00    1.95e+01      1.51e-01    8.94e-02      2.49e-01    6.16e-01    2.0e-03
    500      1.34e+01    1.48e+01      1.81e-01    1.53e-01      4.22e-01    4.66e-01    2.0e-03
    600      1.49e+01    1.67e+01      1.10e-01    1.21e-01      4.72e-01    5.28e-01    2.0e-03
    700      1.03e+01    9.64e+00      2.98e-01    6.28e-01      3.22e-01    3.01e-01    2.0e-03
    800      6.68e+00    7.74e+00      8.45e-02    9.86e-02      2.11e-01    2.45e-01    2.0e-03
    900      1.18e+01    2.41e+01      4.12e-01    1.22e+00      3.70e-01    7.30e-01    2.0e-03
   1000      1.07e+01    1.81e+01      1.45e-01    2.63e-02      3.38e-01    5.72e-01    2.0e-03
   1100      8.96e+00    1.74e+01      2.76e-01    3.72e-01      2.82e-01    5.47e-01    2.0e-03
   1200      7.31e+00    8.50e+00      2.55e-02    1.30e+00      2.31e-01    2.28e-01    2.0e-03
   1300      7.36e+00    1.62e+01      3.32e-01    1.11e-01      2.30e-01    5.12e-01    2.0e-03
   1400      6.22e+00    6.41e+00      3.13e-01    3.13e-01      1.92e-01    2.02e-01    2.0e-03
   1500      7.20e+00    1.41e+01      2.16e-01    1.33e-01      2.26e-01    4.46e-01    2.0e-03
   1600      8.52e+00    8.16e+00      1.22e-02    1.61e-06      2.69e-01    2.58e-01    2.0e-03
   1700      6.09e+00    7.72e+00      1.06e-01    6.68e-02      1.92e-01    2.44e-01    2.0e-03
   1800      8.50e+00    1.46e+01      3.11e-01    9.41e-02      2.67e-01    4.62e-01    2.0e-03
   1900      6.06e+00    1.27e+01      1.54e-01    2.05e-01      1.91e-01    4.01e-01    2.0e-03
   2000      8.95e+00    8.30e+00      1.05e-01    1.14e-01      2.83e-01    2.62e-01    2.0e-03
   2100      5.73e+00    4.68e+00      2.60e-01    2.43e-01      1.78e-01    1.47e-01    2.0e-03
   2200      6.80e+00    7.36e+00      1.76e-01    5.31e-02      2.14e-01    2.33e-01    2.0e-03
   2300      6.93e+00    7.12e+00      9.27e-01    9.20e-01      1.82e-01    2.02e-01    2.0e-03
   2400      6.90e+00    2.26e+01      9.71e-02    6.43e-01      2.18e-01    7.13e-01    2.0e-03
   2500      5.64e+00    1.35e+01      1.05e-01    1.43e-01      1.78e-01    4.27e-01    2.0e-03
   2600      1.57e+01    6.04e+01      4.75e-01    1.69e+00      4.91e-01    1.91e+00    2.0e-03
   2700      1.14e+01    2.22e+01      6.87e-02    2.85e-01      3.61e-01    6.99e-01    2.0e-03
   2800      6.34e+00    1.22e+01      4.78e-01    2.11e-01      1.93e-01    3.85e-01    2.0e-03
   2900      6.10e+00    6.47e+00      8.75e-03    3.28e-04      1.93e-01    2.05e-01    2.0e-03
   3000      8.07e+00    8.03e+01      6.05e-01    1.12e+00      2.42e-01    2.54e+00    2.0e-03
   3100      7.70e+00    4.46e+01      4.31e-01    4.93e-01      2.39e-01    1.41e+00    2.0e-03
   3200      8.54e+00    9.68e+00      3.16e-01    1.06e-01      2.68e-01    3.06e-01    2.0e-03
   3300      8.33e+00    1.52e+01      1.82e-01    2.61e-02      2.63e-01    4.80e-01    2.0e-03
